,case_number,year,type,country,species_,date,mes,fatal,sexo,especie_cat,age
140,2015.04.12,2015,Unprovoked,reunion,Bull shark,12-Apr-2015,Apr,y,M,Bull,13.0
141,2015.04.03,2015,Unprovoked,usa,Bull shark,03-Apr-2015,Apr,n,M,Bull,25.0
142,2015.03.31,2015,Invalid,brazil,No shark involvement,31-Mar-2015,Mar,Unknown,M,Unspecified,23.0
143,2015.03.18,2015,Unprovoked,usa,"Tiger shark, 8 to 12 feet",18-Mar-2015,Mar,n,M,Tiger,58.0
144,2015.03.16,2015,Unprovoked,french polynesia,Blacktip shark,16-Mar-2015,Mar,n,M,Unspecified,9.0
145,2015.02.14,2015,Unprovoked,reunion,"Tiger shark, 3.5 m",14-Feb-2015,Feb,y,F,Tiger,22.0
146,2015.02.09,2015,Unprovoked,australia,3.5 to 4 m shark,09-Feb-2015,Feb,y,M,Unspecified,41.0
147,2015.02.08,2015,Unprovoked,australia,2 m to  3 m shark,08-Feb-2015,Feb,n,M,Unspecified,35.0
148,2015.01.30,2015,Boating,australia,"Bull shark, 1.3 m",30-Jan-2015,Jan,n,M,Bull,57.0
149,2015.01.27,2015,Provoked,usa,4' shark,27-Jan-2015,Jan,n,M,Unspecified,20.0
150,2015.01.06,2015,Unprovoked,bahamas,White shark or oceanic whitetip shark,06-Jan-2015,Jan,n,F,White,34.0
151,2015.01.03,2015,Unprovoked,south africa,"Raggedtooth shark, 1.3 m",03-Jan-2015,Jan,n,M,Unspecified,15.0
152,2014.12.29.a,2014,Unprovoked,australia,"White shark, 4 to 5 m",29-Dec-2014,Dec,y,M,White,17.0
153,2014.12.28.b,2014,Unprovoked,usa,"White shark, 8' to 10'",28-Dec-2014,Dec,n,M,White,50.0
154,2014.12.28.a,2014,Provoked,australia,1.5 m shark,28-Dec-2014,Dec,n,M,Unspecified,40.0
155,2014.12.15,2014,Unprovoked,australia,Tiger shark,15-Dec-2014,Dec,y,M,Tiger,17.0
156,2014.11.16,2014,Unprovoked,usa,2' shark,16-Nov-2014,Nov,n,M,Unspecified,44.0
157,2014.11.13,2014,Unprovoked,usa,1.5 m shark,13-Nov-2014,Nov,n,M,Unspecified,53.0
158,2014.10.31,2014,Unprovoked,usa,"Tiger shark, 12'",31-Oct-2014,Oct,n,F,Tiger,34.0
159,2014.10.17,2014,Unprovoked,australia,1 m shark,17-Oct-2014,Oct,n,F,Unspecified,13.0
160,2014.10.05.b,2014,Unprovoked,usa,Blacktip shark,05-Oct-2014,Oct,n,M,Unspecified,29.0
161,2014.10.05.a,2014,Unprovoked,usa,Blacktip shark,05-Oct-2014,Oct,n,M,Unspecified,15.0
162,2014.10.02.b,2014,Unprovoked,usa,8' to 10' shark,02-Oct-2014,Oct,n,M,Unspecified,28.0
163,2014.10.02.a,2014,Unprovoked,australia,"2 white shark: 13' & 9""8""",02-Oct-2014,Oct,n,M,White,23.0
164,2014.09.09,2014,Unprovoked,australia,7' shark,09-Sep-2014,Sep,y,M,Unspecified,50.0
165,2014.09.06,2014,Unprovoked,usa,Bull shark,06-Sep-2014,Sep,n,M,Bull,43.0
166,2014.09.03,2014,Boating,usa,"White shark, 12' to 14'",03-Sep-2014,Sep,n,F,White,20.0
167,2014.09.02,2014,Provoked,usa,3' to 4' shark,02-Sep-2014,Sep,n,M,Unspecified,52.0
168,2014.08.31,2014,Unprovoked,usa,Spinner shark,31-Aug-2014,Aug,n,F,Unspecified,13.0
169,2014.08.08,2014,Unprovoked,usa," Bull shark, 5'",08-Aug-2014,Aug,n,M,Bull,7.0
170,2014.08.06,2014,Unprovoked,usa,4' tp 5' shark,06-Aug-2014,Aug,n,M,Unspecified,10.0
171,2014.08.01,2014,Unprovoked,south africa,White shark,01-Aug-2014,Aug,n,M,White,20.0
172,2014.07.16,2014,Unprovoked,usa,6' to 8' shark,16-Jul-2014,Jul,n,M,Unspecified,61.0
173,2014.07.14,2014,Unprovoked,usa,4' shark,14-Jul-2014,Jul,n,M,Unspecified,39.0
174,2014.07.13,2014,Invalid,bahamas,Shark involvement not confirmed,13-Jul-2014,Jul,Unknown,M,Unspecified,63.0
175,2014.07.03,2014,Unprovoked,usa,4' to 5' shark,3-Jul-2014,Jul,n,M,Unspecified,19.0
176,2014.06.09.b,2014,Unprovoked,usa," Sandbar shark, 3' to 4'",09-Jun-2014,Jun,n,M,Unspecified,16.0
177,2014.06.09.a,2014,Unprovoked,australia,"Bronze whaler shark, 1.5m",09-Jun-2014,Jun,n,M,Unspecified,39.0
178,2014.06.01.c,2014,Unprovoked,usa,Bull shark,01-Jun-2014,Jun,n,F,Bull,22.0
179,2014.05.14,2014,Unprovoked,australia," white shark, 15' ",14-May-2014,May,n,M,White,35.0
180,2014.05.06,2014,Unprovoked,usa,4' to 5' shark,06-May-2014,May,n,F,Unspecified,40.0
181,2014.05.01,2014,Unprovoked,usa,3' shark,01-May-2014,May,n,M,Unspecified,23.0
182,2014.04.03,2014,Unprovoked,australia,3 m to 4 m white shark,03-Apr-2014,Apr,y,F,White,63.0
183,2014.03.29,2014,Invalid,australia,Shark involvement prior to death not confirmed,29-Mar-2014,Mar,Unknown,M,Unspecified,38.0
184,2014.03.22.b,2014,Unprovoked,south africa,2 m shark,22-Mar-2014,Mar,y,M,Unspecified,25.0
185,2014.02.20,2014,Unprovoked,french polynesia,Blacktip reef shark ,20-Feb-2014,Feb,n,M,Unspecified,21.0
186,2014.02.07,2014,Unprovoked,new zealand,7-gill shark?,07-Feb-2014,Feb,n,M,Unspecified,28.0
187,2013.12.25,2013,Unprovoked,new caledonia,Reported to involve a bull shark,25-Dec-2013,Dec,n,M,Bull,37.0
188,2013.12.16,2013,Unprovoked,south africa,"White shark, 3m ",16-Dec-2013,Dec,n,M,White,19.0
189,2013.12.11,2013,Unprovoked,usa,"Tiger shark, 10' to 12'",11-Dec-2013,Dec,n,M,Tiger,29.0
190,2013.12.10,2013,Unprovoked,usa,4' to 6' shark,10-Dec-2013,Dec,n,M,Unspecified,30.0
191,2013.12.05,2013,Unprovoked,australia," Wobbegong shark, 1.6 to 1.8m ",05-Dec-2013,Dec,n,M,Unspecified,26.0
192,2013.11.30,2013,Unprovoked,australia,"Tiger shark, 3m ",30-Nov-2013,Nov,y,M,Tiger,19.0
193,2013.11.23.a,2013,Unprovoked,australia,Thought to involve a white shark,23-Nov-2013,Nov,y,M,White,35.0
194,2013.11.22,2013,Unprovoked,usa,"White shark, 10 '",22-Nov-2013,Nov,n,M,White,25.0
195,2013.10.31,2013,Unprovoked,usa,Tiger shark,31-Oct-2013,Oct,n,M,Tiger,46.0
196,2013.10.28,2013,Unprovoked,australia,"Blacktip reef shark, 1m",28-Oct-2013,Oct,n,F,Unspecified,60.0
197,2013.10.26.b,2013,Unprovoked,reunion,Thought to involve a bull shark,26-Oct-2013,Oct,n,M,Bull,24.0
198,2013.10.24,2013,Unprovoked,australia,Wobbegong shark,24-Oct-2013,Oct,n,M,Unspecified,41.0
199,2013.10.23,2013,Unprovoked,usa,"Whitetip reef shark, 4' to 6'",23-Oct-2013,Oct,n,M,White,45.0
200,2013.10.20,2013,Unprovoked,usa,Tiger shark,20-Oct-2013,Oct,n,M,Tiger,25.0
201,2013.10.19,2013,Unprovoked,usa,Nurse shark?,19-Oct-2013,Oct,n,M,Unspecified,6.0
202,2013.10.11,2013,Unprovoked,south africa,White shark,11-Oct-2013,Oct,y,M,White,25.0
203,2013.10.08,2013,Unprovoked,australia,White shark,08-Oct-2013,Oct,n,M,White,55.0
204,2013.10.05,2013,Unprovoked,usa,"White shark, 8' to 10'",06-Oct-2013,Oct,n,M,White,45.0
205,2013.09.14,2013,Unprovoked,usa,Bull shark, 14-Sep-2013,Sep,n,M,Bull,21.0
