,case_number,year,country,age,species_,mes,fatal,sexo,especie_cat,age_limpio
145,2015.02.14,2015,reunion,22,"Tiger shark, 3.5 m",Feb,y,F,Tiger,22.0
146,2015.02.09,2015,australia,41,3.5 to 4 m shark,Feb,y,M,Unspecified,41.0
147,2015.02.08,2015,australia,35,2 m to  3 m shark,Feb,n,M,Unspecified,35.0
148,2015.01.30,2015,australia,57,"Bull shark, 1.3 m",Jan,n,M,Bull,57.0
149,2015.01.27,2015,usa,20,4' shark,Jan,n,M,Unspecified,20.0
150,2015.01.06,2015,bahamas,34,White shark or oceanic whitetip shark,Jan,n,F,White,34.0
151,2015.01.03,2015,south africa,15,"Raggedtooth shark, 1.3 m",Jan,n,M,Unspecified,15.0
152,2014.12.29.a,2014,australia,17,"White shark, 4 to 5 m",Dec,y,M,White,17.0
153,2014.12.28.b,2014,usa,50,"White shark, 8' to 10'",Dec,n,M,White,50.0
154,2014.12.28.a,2014,australia,40s,1.5 m shark,Dec,n,M,Unspecified,40.0
155,2014.12.15,2014,australia,17,Tiger shark,Dec,y,M,Tiger,17.0
156,2014.11.16,2014,usa,44,2' shark,Nov,n,M,Unspecified,44.0
157,2014.11.13,2014,usa,53,1.5 m shark,Nov,n,M,Unspecified,53.0
158,2014.10.31,2014,usa,34,"Tiger shark, 12'",Oct,n,F,Tiger,34.0
159,2014.10.17,2014,australia,13,1 m shark,Oct,n,F,Unspecified,13.0
160,2014.10.05.b,2014,usa,29,Blacktip shark,Oct,n,M,Unspecified,29.0
161,2014.10.05.a,2014,usa,15,Blacktip shark,Oct,n,M,Unspecified,15.0
162,2014.10.02.b,2014,usa,28,8' to 10' shark,Oct,n,M,Unspecified,28.0
163,2014.10.02.a,2014,australia,23,"2 white shark: 13' & 9""8""",Oct,n,M,White,23.0
164,2014.09.09,2014,australia,50,7' shark,Sep,y,M,Unspecified,50.0
165,2014.09.06,2014,usa,43,Bull shark,Sep,n,M,Bull,43.0
166,2014.09.03,2014,usa,20s,"White shark, 12' to 14'",Sep,n,F,White,20.0
167,2014.09.02,2014,usa,52,3' to 4' shark,Sep,n,M,Unspecified,52.0
168,2014.08.31,2014,usa,13,Spinner shark,Aug,n,F,Unspecified,13.0
169,2014.08.08,2014,usa,7," Bull shark, 5'",Aug,n,M,Bull,7.0
170,2014.08.06,2014,usa,10,4' tp 5' shark,Aug,n,M,Unspecified,10.0
171,2014.08.01,2014,south africa,20,White shark,Aug,n,M,White,20.0
172,2014.07.16,2014,usa,61,6' to 8' shark,Jul,n,M,Unspecified,61.0
173,2014.07.14,2014,usa,39,4' shark,Jul,n,M,Unspecified,39.0
174,2014.07.13,2014,bahamas,63,Shark involvement not confirmed,Jul,,M,Unspecified,63.0
175,2014.07.03,2014,usa,19,4' to 5' shark,Jul,n,M,Unspecified,19.0
176,2014.06.09.b,2014,usa,16," Sandbar shark, 3' to 4'",Jun,n,M,Unspecified,16.0
177,2014.06.09.a,2014,australia,39,"Bronze whaler shark, 1.5m",Jun,n,M,Unspecified,39.0
178,2014.06.01.c,2014,usa,22,Bull shark,Jun,n,F,Bull,22.0
179,2014.05.14,2014,australia,35," white shark, 15' ",May,n,M,White,35.0
180,2014.05.06,2014,usa,40,4' to 5' shark,May,n,F,Unspecified,40.0
181,2014.05.01,2014,usa,23,3' shark,May,n,M,Unspecified,23.0
182,2014.04.03,2014,australia,63,3 m to 4 m white shark,Apr,y,F,White,63.0
183,2014.03.29,2014,australia,38,Shark involvement prior to death not confirmed,Mar,,M,Unspecified,38.0
184,2014.03.22.b,2014,south africa,66,2 m shark,Mar,y,M,Unspecified,66.0
185,2014.02.20,2014,french polynesia,21,Blacktip reef shark ,Feb,n,M,Unspecified,21.0
186,2014.02.07,2014,new zealand,28,7-gill shark?,Feb,n,M,Unspecified,28.0
187,2013.12.25,2013,new caledonia,37,Reported to involve a bull shark,Dec,n,M,Bull,37.0
188,2013.12.16,2013,south africa,19,"White shark, 3m ",Dec,n,M,White,19.0
189,2013.12.11,2013,usa,29,"Tiger shark, 10' to 12'",Dec,n,M,Tiger,29.0
190,2013.12.10,2013,usa,30,4' to 6' shark,Dec,n,M,Unspecified,30.0
191,2013.12.05,2013,australia,26," Wobbegong shark, 1.6 to 1.8m ",Dec,n,M,Unspecified,26.0
192,2013.11.30,2013,australia,19,"Tiger shark, 3m ",Nov,y,M,Tiger,19.0
193,2013.11.23.a,2013,australia,35,Thought to involve a white shark,Nov,y,M,White,35.0
194,2013.11.22,2013,usa,25,"White shark, 10 '",Nov,n,M,White,25.0
195,2013.10.31,2013,usa,46,Tiger shark,Oct,n,M,Tiger,46.0
196,2013.10.28,2013,australia,60,"Blacktip reef shark, 1m",Oct,n,F,Unspecified,60.0
197,2013.10.26.b,2013,reunion,24,Thought to involve a bull shark,Oct,n,M,Bull,24.0
198,2013.10.24,2013,australia,41,Wobbegong shark,Oct,n,M,Unspecified,41.0
199,2013.10.23,2013,usa,45,"Whitetip reef shark, 4' to 6'",Oct,n,M,White,45.0
200,2013.10.20,2013,usa,25,Tiger shark,Oct,n,M,Tiger,25.0
201,2013.10.19,2013,usa,6,Nurse shark?,Oct,n,M,Unspecified,6.0
202,2013.10.11,2013,south africa,74,White shark,Oct,y,M,White,74.0
203,2013.10.08,2013,australia,55,White shark,Oct,n,M,White,55.0
204,2013.10.05,2013,usa,45,"White shark, 8' to 10'",Oct,n,M,White,45.0
205,2013.09.14,2013,usa,21,Bull shark,Sep,n,M,Bull,21.0
206,2013.09.12,2013,usa,13,3' shark,Sep,n,F,Unspecified,13.0
207,2013.09.07.b,2013,usa,43,3' shark,Sep,n,M,Unspecified,43.0
208,2013.09.07.a,2013,usa,25,3' shark,Sep,n,M,Unspecified,25.0
