,case_number,year,country,age,species_,mes,fatal,sexo,especie_cat,age_limpio
890,1995.06.14,1995,usa,38,"Tiger shark, 3.7 m [12'] ",Jun,n,M,Tiger,38.0
891,1995.06.02,1995,hong kong,29,1.8 m to 2.1 m [6' to 7'] shark,Jun,y,M,Unspecified,29.0
892,1995.04.09.a,1995,japan,47,6 m [20'] white shark,Apr,y,M,White,47.0
893,1995.03.11,1995,australia,35,"Bronze whaler shark, 2 m ",Mar,n,M,Unspecified,35.0
894,1995.02.19,1995,south africa,22,Raggedtooth shark,Feb,n,M,Unspecified,22.0
895,1995.01.24,1995,south africa,14,"Tiger shark, 1.8 m [6'] ",Jan,y,M,Tiger,14.0
896,1994.12.30,1994,south africa,26,5.5 m [18'] white shark,Dec,n,M,White,26.0
897,1994.12.09.a,1994,usa,42,5 m to 5.5 m [16.5' to 18'] white shark,Dec,y,M,White,42.0
898,1994.11.13,1994,usa,34,2.7 m [9'] shark,Nov,n,F,Unspecified,34.0
899,1994.10.08,1994,usa,9,Thought to involve a small sand shark,Oct,n,F,Unspecified,9.0
900,1994.09.21,1994,usa,43,5 m [16.5'] white shark,Sep,n,M,White,43.0
901,1994.09.05,1994,usa,12,Small shark,Sep,n,F,Unspecified,12.0
902,1994.07.09.c,1994,reunion,24,3 to 3.5 m [10' to 11.5'] bull shark,Jul,y,M,Bull,24.0
903,1994.07.09.b,1994,south africa,22,4 m [13'] white shark,Jul,y,M,White,22.0
904,1994.07.09.a,1994,south africa,31,4 m [13'] white shark,Jul,n,M,White,31.0
905,1994.07.08.a,1994,usa,15,"""small shark""",Jul,n,M,Unspecified,15.0
906,1994.06.24,1994,bahamas,30,1.8 m [6'] shark,Jun,n,M,Unspecified,30.0
907,1994.05.31.a,1994,usa, 28,1.2 m [4'] spinner shark,May,n,M,Unspecified,28.0
908,1994.05.15,1994,usa,22,>1.8 m [6'] shark,May,n,M,Unspecified,22.0
909,1994.02.19,1994,usa,23,1.2 m [4'] shark,Feb,n,M,Unspecified,23.0
910,1994.02.12,1994,south africa,15,3 m [10'] white shark,Feb,n,M,White,15.0
911,1994.01.03,1994,south africa,33,"1.3 m [4'3""] shark",Jan,n,M,Unspecified,33.0
912,1993.11.21,1993,australia,27,Tiger shark caught 6 days later with divers remains in its gut,Nov,y,M,Tiger,27.0
913,1993.10.30,1993,usa,26,4 m to 5 m [13' to 16.5'] white shark,Oct,n,M,White,26.0
914,1993.10.26,1993,usa,26,3 m [10'] bull shark,Oct,n,F,Bull,26.0
915,1993.10.10,1993,usa,34,>6 m [20'] white shark,Oct,n,F,White,34.0
916,1993.09.26,1993,south africa,36,3 m [10'] white shark,Sep,n,M,White,36.0
917,1993.09.03,1993,spain,69,1.2 m [4'] shark,Sep,n,M,Unspecified,69.0
918,1993.08.21,1993,bahamas,51,1.8 m [6'] blacktip shark or Caribbean reef shark,Aug,n,M,Unspecified,51.0
919,1993.08.15.a,1993,usa,19,Bull shark,Aug,n,F,Bull,19.0
920,1993.08.12,1993,usa,39,5.5 m to 6 m [18' to 20']  white shark,Aug,n,M,White,39.0
921,1993.07.30,1993,south africa,28,4 m [13'] white shark,Jul,n,M,White,28.0
922,1993.07.07,1993,usa,12,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",Jul,n,F,Unspecified,12.0
923,1993.06.10,1993,usa,22,Thought to involve a tiger shark,Jun,n,M,Tiger,22.0
924,1993.06.09,1993,australia,31,Remains recovered from 5.5 m [18'] white shark,Jun,y,M,White,31.0
925,1993.06.05,1993,australia,34,5 m [16.5'] white shark,Jun,y,F,White,34.0
926,1993.06.00,1993,usa,60's,6' shark,Jun,n,F,Unspecified,60.0
927,1993.03.14,1993,usa,35,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",Mar,n,M,Tiger,35.0
928,1993.03.12,1993,usa,55,White shark,Mar,n,M,White,55.0
929,1993.02.04,1993,australia,69,"Bronze whaler shark, 1.5 m ",Feb,n,M,Unspecified,69.0
930,1993.01.05,1993,australia,21,1.5 m shark,Jan,n,M,Unspecified,21.0
931,1993.01.02,1993,usa,29,6 m [20'] white shark,Jan,n,M,White,29.0
932,1992.12.28,1992,usa,10,"Tiger shark, 2.4 m [8']",Dec,n,M,Tiger,10.0
933,1992.12.23,1992,usa,30,"Tiger shark, 3 m to 4.9 m [10' to 16'] ",Dec,n,M,Tiger,30.0
934,1992.11.29,1992,usa,31,"Mako shark, 1.8 m [6']  ",Nov,n,M,Unspecified,31.0
935,1992.11.25.a,1992,usa,19,6' to 7' blacktip shark,Nov,n,M,Unspecified,19.0
936,1992.11.14,1992,usa,46,5 m to 6 m white shark,Nov,n,M,White,46.0
937,1992.11.11,1992,usa,40,Unidentified shark,Nov,n,M,Unspecified,40.0
938,1992.11.05.a,1992,usa,18,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",Nov,y,M,Tiger,18.0
939,1992.10.29,1992,usa,40,2.5 m [8.25'] white shark,Oct,n,M,White,40.0
940,1992.10.22,1992,usa,28,"Tiger shark, 4.3 m [14'] ",Oct,n,M,Tiger,28.0
941,1992.10.01,1992,australia,28,4.2 m white shark,Oct,y,M,White,28.0
942,1992.09.13,1992,usa,20,4 m to 5 m [13' to 16.5']  white shark ,Sep,n,M,White,20.0
943,1992.08.25,1992,australia,17,4 m white shark,Aug,n,M,White,17.0
944,1992.08.18,1992,usa,22,5.5 m to 6 m [18' to 20'] white shark,Aug,n,M,White,22.0
945,1992.07.21,1992,usa,42,"""a small shark""",Jul,n,F,Unspecified,42.0
946,1992.06.28.a,1992,reunion,16,Bull shark or lemon shark,Jun,y,M,Lemon,16.0
947,1992.04.09,1992,south africa,35,>2 m shark,Apr,n,M,Unspecified,35.0
948,1992.03.28,1992,usa,36,Tiger shark,Mar,n,F,Tiger,36.0
949,1992.03.08.c,1992,japan,41,"5 m [16.5'] white shark, identification by K. Nakaya",Mar,y,M,White,41.0
950,1992.03.08.a,1992,usa,21,Said to involve a 6 m to 7 m [20' to 23'] white shark,Mar,n,M,White,21.0
951,1992.02.09,1992,australia,19,Questionable incident,Feb,,M,Unspecified,19.0
952,1992.01.29.a,1992,australia,19,"Bronze whaler shark, 2.3 m [7.5'] ",Jan,n,M,Unspecified,19.0
953,1992.01.23,1992,south africa,19,"Zambesi shark, 1.7 m [5.5'] ",Jan,n,M,Unspecified,19.0
954,1992.01.08,1992,south africa,36,Possibly a 1.5 m [5'] blacktip shark,Jan,n,M,Unspecified,36.0
955,1991.12.04,1991,usa,25,6 m [20'] white shark,Dec,n,M,White,25.0
956,1991.11.26.b,1991,usa,41,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",Nov,y,F,Tiger,41.0
957,1991.10.12,1991,usa,21,1.8 m [6'] shark,Oct,n,M,Unspecified,21.0
958,1991.10.05,1991,usa,32,5 m to 6 m [16.5' to 20'] white shark,Oct,n,M,White,32.0
959,1991.09.08,1991,australia,19,4 m [13'] white shark,Sep,y,M,White,19.0
960,1991.08.30,1991,australia,36,"3 m [10'], 270- kg [595-lb] shark",Aug,n,M,Unspecified,36.0
961,1991.08.26,1991,usa,23,sand shark,Aug,n,M,Unspecified,23.0
962,1991.08.12,1991,usa,10,3' shark,Aug,n,F,Unspecified,10.0
963,1991.07.30,1991,italy,40,4 m [13'] white shark,Jul,n,F,White,40.0
964,1991.07.01.b,1991,reunion,30,"Tiger shark, 3 to 4 m [10' to 13'] ",Jul,n,M,Tiger,30.0
965,1991.07.01.a,1991,usa,32,5 m [16.5'] white shark,Jul,n,M,White,32.0
966,1991.06.07.b,1991,usa,31,2.7 m [9'] bull or lemon shark,Jun,n,M,Lemon,31.0
967,1991.06.07.a,1991,hong kong,65,"Tiger shark, >3 m [10']",Jun,y,F,Tiger,65.0
968,1991.05.26,1991,usa,23,2.4 m [8'] shark,May,n,M,Unspecified,23.0
969,1991.04.16.a,1991,usa,22,1.2 m to 1.5 m [4' to 5'] shark,Apr,n,M,Unspecified,22.0
970,1991.02.24,1991,usa,38,5.5 m [18'] white shark,Feb,n,M,White,38.0
971,1991.02.12,1991,south africa,20,5.5 m [18'] white shark,Feb,n,M,White,20.0
972,1990.11.01,1990,usa,24,5' shark,Nov,n,M,Unspecified,24.0
973,1990.10.30.b,1990,usa,50,1.8 m [6'] shark ,Oct,n,M,Unspecified,50.0
974,1990.10.20,1990,usa,25,4' spinner shark,Oct,n,M,Unspecified,25.0
975,1990.10.15,1990,usa,43,"Tiger shark, 3.7 m [12'] ",Oct,n,M,Tiger,43.0
976,1990.10.12,1990,usa,19,1.8 m to 2.4 m [6' to 8'] shark,Oct,n,M,Unspecified,19.0
977,1990.09.15,1990,south africa,26,5 m  [16.5'] white shark,Sep,n,M,White,26.0
978,1990.09.08,1990,usa,49,White shark,Sep,n,M,White,49.0
979,1990.09.05,1990,usa,44,2.5 m to 3 m [8.25' to 10']  white shark,Sep,n,M,White,44.0
980,1990.08.28,1990,usa,22,5 m to 6 m [16.5' to 20'] white shark,Aug,n,M,White,22.0
981,1990.06.24,1990,south africa,21,"4.5 m [14'9""] white shark",Jun,y,F,White,21.0
982,1990.05.06,1990,south africa,22,"5.5 m [18'] white shark, identified by witnesses & tooth marks",May,n,M,White,22.0
983,1990.04.14,1990,south africa,23,"2.3 m [7.5'] white shark, identified by M. Smale",Apr,n,M,White,23.0
984,1990.04.09,1990,australia,31,"Tiger shark, 3 m ",Apr,n,M,Tiger,31.0
985,1989.11.18,1989,south africa,29,White shark,Nov,y,M,White,29.0
986,1989.10.22,1989,australia,17,2.7 m [9'] white shark,Oct,n,M,White,17.0
987,1989.10.11,1989,usa,12,4' shark,Oct,n,M,Unspecified,12.0
988,1989.10.08,1989,usa,49,Shark involvement suspected but not confirmed,Oct,,M,Unspecified,49.0
989,1989.09.17,1989,south africa,29,"White shark, identified by tooth pattern",Sep,n,M,White,29.0
990,1989.09.13,1989,usa,51,150-lb shark,Sep,n,M,Unspecified,51.0
991,1989.09.09.b,1989,usa,38,4 m to 5 m [13' to 16.5']  white shark,Sep,n,M,White,38.0
992,1989.08.29,1989,australia,30,Grey nurse shark,Aug,n,M,Grey,30.0
993,1989.08.22.a,1989,south africa,21,>3.4 m [11'] white shark,Aug,n,M,White,21.0
994,1989.08.13,1989,australia,17,"Bronze whaler shark, 3 m [10'] ",Aug,n,M,Unspecified,17.0
995,1989.07.20,1989,south africa,34,2.5 m [8.25'] white shark,Jul,n,M,White,34.0
996,1989.06.05,1989,south africa,16,3 m [10'] white shark,Jun,n,M,White,16.0
997,1989.06.03,1989,south africa,28,2.5 m [8.25'] white shark,Jun,n,M,White,28.0
998,1989.03.09,1989,australia,27,2 m [6.75'] white shark,Mar,y,M,White,27.0
999,1989.02.02,1989,italy,47,6 m [20'] white shark,Feb,y,M,White,47.0
1000,1989.01.26.b,1989,usa,24,Invalid,Jan,,M,Unspecified,24.0
1001,1989.01.26.a,1989,usa,24,5 m [16.5'] white shark,Jan,y,F,White,24.0
1002,1989.01.03,1989,australia,17,"Tiger shark, 4 m [13'] ",Jan,n,M,Tiger,17.0
1003,1988.10.23,1988,usa,21,5.5 m to 6 m [18' to 20']  white shark,Oct,n,M,White,21.0
1004,1988.10.11,1988,usa,30,1.2 m to 1.5 m [4' to 5'] shark,Oct,n,M,Unspecified,30.0
1005,1988.10.10,1988,usa,23,1.2 m to 1.5 m [4' to 5'] shark,Oct,n,M,Unspecified,23.0
1006,1988.09.28,1988,usa,21,5' shark,Sep,n,M,Unspecified,21.0
1007,1988.09.13.a,1988,usa,38,3 m [10'] bull shark,Sep,y,M,Bull,38.0
1008,1988.08.11,1988,usa,27,2.4 m to 3 m [8' to 10'] white shark,Aug,n,M,White,27.0
1009,1988.06.19,1988,south africa,36,White shark,Jun,n,M,White,36.0
1010,1988.06.09,1988,usa,37,Sand shark?,Jun,n,M,Unspecified,37.0
1011,1988.06.01,1988,usa,25,1.8 m to 2.4 m [6' to 8'] shark,Jun,n,M,Unspecified,25.0
1012,1988.03.16,1988,south africa,17,1.5 m to 2 m [5' to 6.75'] shark,Mar,n,M,Unspecified,17.0
1013,1988.02.14,1988,south africa,20,"1 m ""grey-colored"" shark",Feb,n,M,Grey,20.0
1014,1988.02.13,1988,south africa,15,Zambezi shark (tooth fragments recovered),Feb,n,F,Unspecified,15.0
1015,1988.01.27,1988,south africa,22,Shark involvement not confirmed,Jan,,M,Unspecified,22.0
1016,1988.01.06,1988,south africa,33,1.5 m copper shark,Jan,n,M,Unspecified,33.0
1017,1987.12.17,1987,usa,16,1.8 m [6'] blacktip shark,Dec,n,M,Unspecified,16.0
1018,1987.10.26,1987,usa,20,2 m [6.75'] shark,Oct,n,M,Unspecified,20.0
1019,1987.10.25,1987,south africa,14,Questionable incident,Oct,,M,Unspecified,14.0
1020,1987.10.11,1987,south africa,21,White shark,Oct,n,M,White,21.0
1021,1987.09.13,1987,south africa,24,3.5 m [11.5']  white shark,Sep,n,M,White,24.0
1022,1987.08.20,1987,usa,12,1.2 m to 1.5 m [4' to 5'] shark,Aug,n,M,Unspecified,12.0
1023,1987.08.15,1987,usa,40,5.7 m white shark,Aug,n,M,White,40.0
1024,1987.07.21,1987,usa,27,3' to 4' shark,Jul,n,M,Unspecified,27.0
1025,1987.07.12.b,1987,usa,32,4' shark,Jul,n,F,Unspecified,32.0
1026,1987.07.12.a,1987,usa,16,4' shark,Jul,n,F,Unspecified,16.0
1027,1987.04.01,1987,vanuatu,8,4.3 m shark,Apr,y,M,Unspecified,8.0
1028,1987.01.28,1987,south africa,30,>2.5 m [8.25'] white shark,Jan,n,M,White,30.0
1029,1986.12.22,1986,south africa,21,3 m [10'] white shark,Dec,y,M,White,21.0
1030,1986.12.11,1986,usa,40,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,Dec,n,M,Unspecified,40.0
1031,1986.12.06.a,1986,usa,27,5 m to 6 m [16.5' to 20'] white shark,Dec,n,M,White,27.0
1032,1986.10.03,1986,usa,6,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",Oct,n,F,Lemon,6.0
1033,1986.10.05,1986,south africa,32,1.6 m shark,Oct,n,M,Unspecified,32.0
1034,1986.08.10,1986,south africa,35,Invalid,Aug,,M,Unspecified,35.0
1035,1986.07.00.a,1986,south africa,26,1.2 m [4'] dusky shark,Jul,n,M,Unspecified,26.0
1036,1986.03.15,1986,south africa,26,>1 m shark,Mar,n,M,Unspecified,26.0
1037,1986.02.18,1986,south africa,21,>2.4 m [8'] white shark,Feb,n,M,White,21.0
1038,1986.02.07,1986,south africa,46,Raggedtooth shark,Feb,n,M,Unspecified,46.0
1039,1986.02.06,1986,south africa,29,"Raggedtooth shark, 2 m [6.75'] ",Feb,n,M,Unspecified,29.0
1040,1986.02.01,1986,australia,29,"Bronze whaler shark, 3.5 m ",Feb,n,M,Unspecified,29.0
1041,1986.01.12,1986,usa,22,Blacktip shark,Jan,n,M,Unspecified,22.0
1042,1986.00.00,1986,usa,16,1.5 m [5'] shark,,n,M,Unspecified,16.0
1043,1985.10.24,1985,south africa,22,2.5 m [8.25'] white shark,Oct,n,M,White,22.0
1044,1985.10.22,1985,usa,46,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark,Oct,n,M,Unspecified,46.0
1045,1985.09.05,1985,usa,17,Invalid,Sep,,M,Unspecified,17.0
1046,1985.08.20,1985,usa,11,Shark involvement not confirmed,Aug,,M,Unspecified,11.0
1047,1985.08.17,1985,usa,67,Shark involvement prior to death not confirmed,Aug,,M,Unspecified,67.0
1048,1985.07.25.b,1985,usa,13,Possibly a small hammerhead shark,Jul,n,F,Unspecified,13.0
1049,1985.07.00,1985,italy,13,"3 m to 3.6 m  [10' to 11'9""] white shark",MidJulJul,n,M,White,13.0
1050,1985.03.03,1985,australia,33,6 m [20'] white shark,Mar,y,F,White,33.0
1051,1985.02.18,1985,usa,29,6 m [20'] white shark,Feb,n,M,White,29.0
1052,1985.01.27,1985,south africa,15,Raggedtooth shark,Jan,n,M,Unspecified,15.0
1053,1985.01.17,1985,south africa,18,"3.5 m white shark, tooth fragments recovered",Jan,n,M,White,18.0
1054,1985.01.04,1985,south africa,34,3.5 m [11.5'] white shark,Jan,n,M,White,34.0
1055,1985.01.00.a,1985,south africa,20,1.5 m [5'] dusky shark,Jan,n,M,Unspecified,20.0
1056,1984.11.30,1984,australia,16,"Tiger shark, 4 m ",Nov,y,M,Tiger,16.0
1057,1984.10.21.b,1984,usa,22,Shark involvement prior to death was not confirmed,Oct,,M,Unspecified,22.0
1058,1984.10.21,1984,usa,23,1.5 m [5'] shark,Oct,n,F,Unspecified,23.0
1059,1984.10.17,1984,usa,77,Shark involvement not confirmed; officials considered barracua,Oct,,F,Unspecified,77.0
1060,1984.10.14.a,1984,usa,15,1.2 m [4'] blacktip shark,Oct,n,M,Unspecified,15.0
1061,1984.09.30.b,1984,usa,25,3 m to 5 m [10' to 16.5'] white shark,Sep,n,M,White,25.0
1062,1984.09.22.a,1984,usa,16,Hammerhead shark?+O2356,Sep,n,M,Unspecified,16.0
1063,1984.09.15,1984,usa,28,4.5 m to 5 m white shark,Sep,y,M,White,28.0
1064,1984.07.24.a,1984,usa,18,1.2 m [4'] shark,Jul,n,F,Unspecified,18.0
1065,1984.07.22,1984,south africa,21,Shark involvement prior to death was not confirmed,Jul,,M,Unspecified,21.0
1066,1984.06.15,1984,south africa,27,2.4 m [8'] white shark,Jun,n,M,White,27.0
1067,1984.06.03.b,1984,usa,13,1.2 m to 1.5 m [4' to 5'] hammerhead shark,Jun,n,F,Unspecified,13.0
1068,1984.02.17,1984,south africa,33, 1.5 m [5'] dusky shark,Feb,n,M,Unspecified,33.0
1069,1984.01.05,1984,south africa,14,"Raggedtooth shark, 1 m ",Jan,n,M,Unspecified,14.0
1070,1983.12.21,1983,south africa,47,"Raggedtooth shark, >1 m ",Dec,n,M,Unspecified,47.0
1071,1983.08.20.a,1983,south africa,29,5 m [16.5'] white shark,Aug,n,M,White,29.0
1072,1983.08.15,1983,usa,14,Sand shark,Aug,n,F,Unspecified,14.0
1073,1983.08.13.a,1983,usa,22,6' to 8' bull shark,Aug,n,F,Bull,22.0
1074,1983.07.26,1983,australia,21,"Tiger shark, 5 m [16.5']",Jul,y,F,Tiger,21.0
1075,1983.07.25.b,1983,australia,24,"Tiger shark, 5 m [16.5']",Jul,y,M,Tiger,24.0
1076,1983.07.25.a,1983,australia,28,"Tiger shark, 5 m [16.5']",Jul,n,M,Tiger,28.0
1077,1983.07.12.b,1983,usa,39,3.5' hammerhead shark,Jul,n,F,Unspecified,39.0
1078,1983.05.31,1983,usa,21,6' shark,May,n,M,Unspecified,21.0
1079,1983.04.12,1983,south africa,27,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",Apr,n,M,Unspecified,27.0
1080,1983.03.30.a,1983,south africa,17,1.8 m [6'] Zambezi shark,Mar,n,M,Unspecified,17.0
1081,1983.02.20,1983,south africa,16,3 m [10'] shark,Feb,n,M,Unspecified,16.0
1082,1983.01.08,1983,south africa,32,White shark,Jan,n,M,White,32.0
1083,1982.10.13,1982,usa,26,1.5 m [5'] shark,Oct,n,M,Unspecified,26.0
1084,1982.09.30.a,1982,south africa,16,"Believed to involve a 2.8 m [9'3""] white shark",Sep,n,M,White,16.0
1085,1982.09.27,1982,usa,20,1.5 m [5'] shark,Sep,n,M,Unspecified,20.0
1086,1982.09.25,1982,usa,36,White shark,Sep,n,M,White,36.0
1087,1982.09.19,1982,usa,28,5 m to 6 m [16.5' to 20'] white shark,Sep,n,M,White,28.0
1088,1982.08.29.b,1982,usa,17,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,Aug,,M,Unspecified,17.0
1089,1982.07.31,1982,south africa,20,Invalid,Jul,,M,Unspecified,20.0
1090,1982.07.24.b,1982,south africa,38,"2.4 m [8'] white shark, species identity confirmed by tooth fragment",Jul,n,M,White,38.0
1091,1982.07.24.a,1982,usa,26,4.5 m to 5.5 m [14.7' to 18'] white shark,Jul,n,M,White,26.0
1092,1982.07.19,1982,usa,17,0.9 m to 1.2 m [3' to 4'] shark,Jul,n,M,Unspecified,17.0
1093,1982.06.29,1982,south africa,27,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard",Jun,y,M,White,27.0
1094,1982.06.26.b,1982,usa,20,5' shark,Jun,n,M,Unspecified,20.0
1095,1982.01.29,1982,south africa,20,Raggedtooth shark,Jan,n,M,Unspecified,20.0
1096,1981.12.19,1981,usa,24,7 m [23'] white shark,Dec,y,M,White,24.0
1097,1981.10.19.a,1981,usa,19,1.8 m to 2.4 m [6' to 8'] shark,Oct,n,M,Unspecified,19.0
1098,1981.09.15,1981,usa,26,Said to involve a tiger shark or a hammerhead shark,Sep,y,M,Tiger,26.0
1099,1981.08.07,1981,bahamas,53,Mako shark (tooth fragments recovered),Aug,n,M,Unspecified,53.0
1100,1981.07.18,1981,south africa,32,Possibly a  1.8 m [6'] Zambezi shark,Jul,n,M,Unspecified,32.0
1101,1981.05.23,1981,south korea,27,6 m  white shark,May,y,F,White,27.0
1102,1981.05.20,1981,south africa,27,Raggedtooth shark,May,n,M,Unspecified,27.0
1103,1981.05.10,1981,south africa,19,"Raggedtooth shark, 2.5 m [8.25'] ",May,n,M,Unspecified,19.0
1104,1981.05.05,1981,south africa,24,"Tiger shark, 2.1 m [7']",May,n,M,Tiger,24.0
1105,1981.03.25,1981,usa,19,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",Mar,n,M,Bull,19.0
1106,1981.03.24,1981,usa,24,C. maculpinnis or C. limbatus,Mar,n,M,Unspecified,24.0
1107,1981.02.19,1981,south africa,30,Juvenile dusky or blacktip shark,Feb,n,M,Unspecified,30.0
1108,1981.02.02,1981,usa,15,1.8 m to 2.4 m [6' to 8'] hammerhead shark,Feb,n,M,Unspecified,15.0
1109,1981.00.00.b,1981,australia,27,"Tiger shark, 2.5 m ",,n,M,Tiger,27.0
1110,1980.12.30,1980,south africa,25,3.5 m [11.5'] shark,,n,M,Unspecified,25.0
1111,1980.11.24,1980,reunion,22,1.8 m [6'] white shark,Nov,n,M,White,22.0
1112,1980.10.27,1980,usa,29,4 m to 5 m [13' to 16.5'] white shark,Oct,n,M,White,29.0
1113,1980.10.17,1980,usa,19,4 m to 5 m [13' to 16.5'] white shark,Oct,n,M,White,19.0
1114,1980.07.23,1980,usa,22,4' to 8' shark,Jul,n,F,Unspecified,22.0
1115,1980.05.15,1980,south africa,22,1.8 m [6'] shark,May,n,M,Unspecified,22.0
1116,1980.04.00,1980,mexico,13,Tiger shark,Apr,n,F,Tiger,13.0
1117,1980.01.31,1980,south africa,24,"2.8 m [9'3""] white shark",Jan,n,M,White,24.0
1118,1980.01.15,1980,south africa,29,"2 m [6'9""] Zambesi shark",Jan,n,M,Unspecified,29.0
1119,1980.01.10,1980,south africa,25,"Raggedtooth shark, 2 m [6'9""] ",Jan,n,M,Unspecified,25.0
1120,1980.00.00.b,1980,south africa,20,Invalid,,,M,Unspecified,20.0
1121,1979.11.27,1979,usa,20,"White shark, 4 m [13'] ",Nov,n,M,White,20.0
1122,1979.05.05,1979,south africa,25,"White shark, 2.5 m [8.25']  ",May,n,M,White,25.0
1123,1979.03.24,1979,usa,27,Blacktip or spinner shark,Mar,n,M,Unspecified,27.0
1124,1979.02.21,1979,south africa,19,1.5 m to 2 m [5' to 6.75'] shark,Feb,n,M,Unspecified,19.0
1125,1978.12.12,1978,south africa,23,"White shark, 2.3 m [7.5'], tooth fragment recovered",Dec,y,M,White,23.0
1126,1978.09.27,1978,south africa,27,"White shark, 3.7 m [12'] ",Sep,n,M,White,27.0
1127,1978.01.17,1978,south africa,17,Thought to involve a blacktip shark,Jan,n,M,Unspecified,17.0
1128,1977.12.19.a,1977,south africa,18,"Tiger shark, 3 m [10']",Dec,n,M,Tiger,18.0
1129,1977.10.30,1977,south africa,25,"White shark, 5 m [16.5'] ",Oct,n,M,White,25.0
1130,1977.08.31,1977,australia,17,White shark,Aug,n,M,White,17.0
1131,1977.08.14,1977,usa,20,"White shark, 5.5 m to 6 m [18' to 20']  ",Aug,n,M,White,20.0
1132,1977.06.26,1977,usa,27,"Bull shark, 8",Jun,n,M,Bull,27.0
1133,1976.12.18,1976,usa,29,"White shark, 5.5 m [18'] ",Dec,n,M,White,29.0
1134,1976.11.27,1976,south africa,19,"White shark, 3 m [10'] k",Nov,n,M,White,19.0
1135,1976.11.25,1976,usa,19,2.1 m [7'] lemon shark or bull shark,Nov,n,M,Lemon,19.0
1136,1976.10.18,1976,usa,25,"White shark, 3 m to 4 m [10' to 13'] ",Oct,n,M,White,25.0
1137,1976.10.06,1976,south africa,20,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",Oct,n,M,White,20.0
1138,1976.09.06,1976,usa,15,"Tiger shark, 6' ",Sep,n,M,Tiger,15.0
1139,1976.08.24,1976,usa,19,"White shark, 4.5 m ",Aug,n,M,White,19.0
1140,1976.06.23,1976,usa,17,12' to 14' shark,Jun,n,M,Unspecified,17.0
1141,1975.12.06,1975,usa,27,White shark,Dec,n,M,White,27.0
1142,1975.11.19.a,1975,south africa,33,Juvenile dusky shark,Nov,n,M,Unspecified,33.0
1143,1975.08.17,1975,south africa,19,"White shark, 2.4 m [8']",Aug,n,M,White,19.0
1144,1975.08.12,1975,usa,20,1.5 m [5'] shark,Aug,n,M,Unspecified,20.0
1145,1975.08.09,1975,usa,44,White shark,Aug,n,M,White,44.0
1146,1975.07.30.a,1975,australia,37,White shark,Jul,y,M,White,37.0
1147,1975.07.23,1975,usa,23,"White shark, 5.8 m [19'] ",Jul,n,M,White,23.0
1148,1975.07.19,1975,usa,34,"White shark, 5m to 6m",Jul,n,M,White,34.0
1149,1975.07.15,1975,usa,14,1.2 m [4'] shark,Jul,n,F,Unspecified,14.0
1150,1975.06.23.b,1975,usa,18,4' shark,Jun,n,M,Unspecified,18.0
1151,1975.02.23,1975,south africa,16,1.5 m [5'] shark,Feb,n,M,Unspecified,16.0
1152,1975.02.10,1975,australia,12,"White shark, 3 m [10'] ",Feb,y,M,White,12.0
1153,1974.09.28,1974,usa,17,"White shark, 5.5 m to 6 m [18' to 20'] ",Sep,n,M,White,17.0
1154,1974.09.14,1974,usa,29,"White shark, 4 m to 5 m ",Sep,n,M,White,29.0
1155,1974.09.07,1974,israel,20,"Shortfin mako shark, 2.3 m [7.5'] ",Sep,n,F,Unspecified,20.0
1156,1974.09.02.b,1974,usa,41,"White shark, 5 m to 6 m [16.5 to 20'] ",Sep,n,M,White,41.0
1157,1974.09.02.a,1974,usa,48,"White shark, 5 m to 6 m [16.5 to 20'] ",Sep,n,M,White,48.0
1158,1974.09.00,1974,usa,24,"White shark, 4.5 m ",Sep,n,M,White,24.0
1159,1974.05.26,1974,usa,45,"White shark, 5 m [16.5']",May,n,M,White,45.0
1160,1974.04.20,1974,south africa,22,"Raggedtooth shark, 1.5 m [5'] ",Apr,n,M,Unspecified,22.0
1161,1974.04.04,1974,south africa,17,Juvenile dusky shark,Apr,n,M,Unspecified,17.0
1162,1974.03.21,1974,south africa,21,1.8 m [6'] shark,Mar,n,M,Unspecified,21.0
1163,1974.01.07.c,1974,south africa,33,2 m to 2.5 m [6.75'  to 8.25'] shark,Jan,n,M,Unspecified,33.0
1164,1973.09.14,1973,bahamas,11,7' to 8' bull shark,Sep,n,M,Bull,11.0
1165,1973.09.09,1973,mexico,37,White shark,Sep,y,M,White,37.0
1166,1973.03.00,1973,south africa,26,"2 m shark, possibly a dusky or blacktip shark",Mar,n,M,Unspecified,26.0
1167,1972.12.26,1972,mozambique,25,2 m to 3 m shark,Dec,n,M,Unspecified,25.0
1168,1972.06.10,1972,usa,22,4.5' shark,Jun,n,M,Unspecified,22.0
