,year,age_limpio
1055,1985,20.0
1056,1984,16.0
1057,1984,22.0
1058,1984,23.0
1059,1984,25.0
1060,1984,15.0
1061,1984,25.0
1062,1984,16.0
1063,1984,28.0
1064,1984,18.0
1065,1984,21.0
1066,1984,27.0
1067,1984,13.0
1068,1984,33.0
1069,1984,14.0
1070,1983,47.0
1071,1983,29.0
1072,1983,14.0
1073,1983,22.0
1074,1983,21.0
1075,1983,24.0
1076,1983,28.0
1077,1983,39.0
1078,1983,21.0
1079,1983,27.0
1080,1983,17.0
1081,1983,16.0
1082,1983,32.0
1083,1982,26.0
1084,1982,16.0
1085,1982,20.0
1086,1982,36.0
1087,1982,28.0
1088,1982,17.0
1089,1982,20.0
1090,1982,38.0
1091,1982,26.0
1092,1982,17.0
1093,1982,27.0
1094,1982,20.0
1095,1982,20.0
1096,1981,24.0
1097,1981,19.0
1098,1981,26.0
1099,1981,53.0
1100,1981,32.0
1101,1981,27.0
1102,1981,27.0
1103,1981,19.0
1104,1981,24.0
1105,1981,19.0
1106,1981,24.0
1107,1981,30.0
1108,1981,15.0
1109,1981,27.0
1110,1980,25.0
1111,1980,22.0
1112,1980,29.0
1113,1980,19.0
1114,1980,22.0
1115,1980,22.0
1116,1980,13.0
1117,1980,24.0
1118,1980,29.0
1119,1980,25.0
1120,1980,20.0
1121,1979,20.0
1122,1979,25.0
1123,1979,27.0
1124,1979,19.0
1125,1978,23.0
1126,1978,27.0
1127,1978,17.0
1128,1977,18.0
1129,1977,25.0
1130,1977,17.0
1131,1977,20.0
1132,1977,27.0
1133,1976,29.0
1134,1976,19.0
1135,1976,19.0
1136,1976,25.0
1137,1976,20.0
1138,1976,15.0
1139,1976,19.0
1140,1976,17.0
1141,1975,27.0
1142,1975,33.0
1143,1975,19.0
1144,1975,20.0
1145,1975,44.0
1146,1975,37.0
1147,1975,23.0
1148,1975,34.0
1149,1975,14.0
1150,1975,18.0
1151,1975,16.0
1152,1975,12.0
1153,1974,17.0
1154,1974,29.0
1155,1974,20.0
1156,1974,41.0
1157,1974,48.0
1158,1974,24.0
1159,1974,45.0
1160,1974,22.0
1161,1974,17.0
1162,1974,21.0
1163,1974,33.0
1164,1973,11.0
1165,1973,37.0
1166,1973,26.0
1167,1972,25.0
1168,1972,22.0
1169,1972,32.0
1170,1972,18.0
1171,1972,30.0
1172,1972,24.0
1173,1971,16.0
1174,1971,18.0
1175,1971,25.0
1176,1971,30.0
1177,1971,34.0
1178,1971,26.0
1179,1971,21.0
1180,1971,50.0
1181,1971,16.0
1182,1970,43.0
1183,1970,25.0
1184,1969,53.0
1185,1969,13.0
1186,1969,23.0
1187,1969,16.0
1188,1969,49.0
1189,1968,27.0
1190,1968,17.0
1191,1968,24.0
1192,1968,18.0
1193,1968,25.0
1194,1968,33.0
1195,1968,63.0
1196,1968,35.0
1197,1968,28.0
1198,1968,26.0
1199,1967,22.0
1200,1967,19.0
1201,1967,24.0
1202,1967,23.0
1203,1967,19.0
1204,1967,15.0
1205,1967,41.0
1206,1967,26.0
1207,1967,32.0
1208,1967,36.0
1209,1967,21.0
1210,1966,13.0
1211,1966,8.0
1212,1966,32.0
1213,1966,43.0
1214,1966,13.0
1215,1966,9.0
1216,1966,26.0
1217,1966,8.0
1218,1966,34.0
1219,1966,46.0
1220,1966,15.0
1221,1966,18.0
1222,1966,18.0
1223,1966,24.0
1224,1966,13.0
1225,1966,33.0
1226,1966,29.0
1227,1966,16.0
1228,1966,15.0
1229,1966,35.0
1230,1966,15.0
1231,1965,24.0
1232,1965,19.0
1233,1965,28.0
1234,1965,8.0
1235,1965,17.0
1236,1965,16.0
1237,1965,25.0
1238,1965,18.0
1239,1965,22.0
1240,1964,19.0
1241,1964,28.0
1242,1964,25.0
1243,1964,19.0
1244,1964,20.0
1245,1964,19.0
1246,1964,18.0
1247,1964,28.0
1248,1964,29.0
1249,1964,40.0
1250,1964,35.0
1251,1964,38.0
1252,1964,26.0
1253,1964,25.0
1254,1964,19.0
1255,1964,23.0
1256,1964,21.0
1257,1963,20.0
1258,1963,24.0
1259,1963,13.0
1260,1963,15.0
1261,1963,23.0
1262,1963,20.0
1263,1963,18.0
1264,1963,21.0
1265,1963,35.0
1266,1963,28.0
1267,1963,30.0
1268,1963,18.0
1269,1963,16.0
1270,1963,26.0
1271,1963,42.0
1272,1963,30.0
1273,1963,25.0
1274,1963,15.0
1275,1963,18.0
1276,1963,28.0
1277,1963,32.0
1278,1963,25.0
1279,1963,27.0
1280,1963,24.0
1281,1962,16.0
1282,1962,24.0
1283,1962,32.0
1284,1962,24.0
1285,1962,28.0
1286,1962,49.0
1287,1962,39.0
1288,1962,40.0
1289,1962,24.0
1290,1962,19.0
1291,1962,11.0
1292,1962,55.0
1293,1962,13.0
1294,1962,10.0
1295,1962,13.0
1296,1962,35.0
1297,1962,18.0
1298,1962,40.0
1299,1962,29.0
1300,1962,19.0
1301,1962,24.0
1302,1962,54.0
1303,1962,57.0
1304,1961,18.0
1305,1961,24.0
1306,1961,18.0
1307,1961,23.0
1308,1961,22.0
1309,1961,17.0
1310,1961,19.0
1311,1961,16.0
1312,1961,19.0
1313,1961,38.0
1314,1961,57.0
1315,1961,21.0
1316,1961,20.0
1317,1961,52.0
1318,1961,10.0
1319,1961,37.0
1320,1961,40.0
1321,1961,38.0
1322,1961,24.0
1323,1961,21.0
1324,1961,33.0
1325,1961,27.0
1326,1961,14.0
1327,1961,15.0
1328,1961,27.0
1329,1961,13.0
1330,1960,25.0
1331,1960,33.0
1332,1960,41.0
1333,1960,15.0
1334,1960,41.0
1335,1960,39.0
1336,1960,25.0
1337,1960,16.0
1338,1960,16.0
1339,1960,48.0
1340,1960,21.0
1341,1960,17.0
1342,1960,42.0
1343,1960,30.0
1344,1960,36.0
1345,1960,13.0
1346,1959,19.0
1347,1959,17.0
1348,1959,19.0
1349,1959,21.0
1350,1959,30.0
1351,1959,36.0
1352,1959,30.0
1353,1959,10.0
1354,1959,13.0
1355,1959,25.0
1356,1959,33.0
1357,1959,18.0
1358,1959,19.0
1359,1959,14.0
1360,1959,20.0
1361,1959,22.0
1362,1959,17.0
1363,1959,18.0
1364,1958,15.0
1365,1958,22.0
1366,1958,21.0
1367,1958,42.0
1368,1958,12.0
1369,1958,8.0
1370,1958,31.0
1371,1958,20.0
1372,1958,36.0
1373,1958,59.0
1374,1958,17.0
1375,1958,29.0
1376,1958,28.0
1377,1958,29.0
1378,1958,14.0
1379,1957,14.0
1380,1957,23.0
1381,1957,57.0
1382,1957,28.0
1383,1957,25.0
1384,1957,17.0
1385,1957,22.0
1386,1956,19.0
1387,1956,19.0
1388,1956,10.0
1389,1956,26.0
1390,1956,15.0
1391,1955,8.0
1392,1955,28.0
1393,1955,19.0
1394,1955,25.0
1395,1955,13.0
1396,1954,30.0
1397,1954,18.0
1398,1954,26.0
1399,1953,19.0
1400,1953,15.0
1401,1953,25.0
1402,1952,25.0
1403,1952,17.0
1404,1951,21.0
1405,1951,23.0
1406,1951,24.0
1407,1951,23.0
1408,1951,31.0
1409,1950,21.0
1410,1950,31.0
1411,1950,25.0
1412,1950,27.0
1413,1950,14.0
1414,1950,7.0
1415,1949,36.0
1416,1949,13.0
1417,1949,20.0
1418,1949,32.0
1419,1948,17.0
1420,1948,48.0
1421,1947,9.0
1422,1947,20.0
1423,1947,21.0
1424,1947,22.0
1425,1947,18.0
1426,1946,30.0
1427,1946,18.0
1428,1946,18.0
1429,1945,37.0
1430,1945,15.0
1431,1944,17.0
1432,1943,20.0
1433,1943,25.0
1434,1942,15.0
1435,1942,18.0
1436,1942,24.0
1437,1942,28.0
1438,1942,48.0
1439,1941,43.0
1440,1941,53.0
1441,1940,25.0
1442,1940,17.0
1443,1940,13.0
1444,1940,18.0
1445,1939,20.0
1446,1939,38.0
1447,1938,18.0
1448,1938,9.0
1449,1938,24.0
1450,1937,25.0
1451,1937,18.0
1452,1937,38.0
1453,1937,33.0
1454,1937,32.0
1455,1936,16.0
1456,1936,16.0
1457,1936,14.0
1458,1936,13.0
