,case_number,year,type,country,age,species_,date,mes,fatal,sexo
154,2014.12.28.a,2014,Provoked,australia,40s,1.5 m shark,28-Dec-2014,Dec,n,M
155,2014.12.15,2014,Unprovoked,australia,17,Tiger shark,15-Dec-2014,Dec,y,M
156,2014.11.16,2014,Unprovoked,usa,44,2' shark,16-Nov-2014,Nov,n,M
157,2014.11.13,2014,Unprovoked,usa,53,1.5 m shark,13-Nov-2014,Nov,n,M
158,2014.10.31,2014,Unprovoked,usa,34,"Tiger shark, 12'",31-Oct-2014,Oct,n,F
159,2014.10.17,2014,Unprovoked,australia,13,1 m shark,17-Oct-2014,Oct,n,F
160,2014.10.05.b,2014,Unprovoked,usa,29,Blacktip shark,05-Oct-2014,Oct,n,M
161,2014.10.05.a,2014,Unprovoked,usa,15,Blacktip shark,05-Oct-2014,Oct,n,M
162,2014.10.02.b,2014,Unprovoked,usa,28,8' to 10' shark,02-Oct-2014,Oct,n,M
163,2014.10.02.a,2014,Unprovoked,australia,23,"2 white shark: 13' & 9""8""",02-Oct-2014,Oct,n,M
164,2014.09.09,2014,Unprovoked,australia,50,7' shark,09-Sep-2014,Sep,y,M
165,2014.09.06,2014,Unprovoked,usa,43,Bull shark,06-Sep-2014,Sep,n,M
166,2014.09.03,2014,Boating,usa,20s,"White shark, 12' to 14'",03-Sep-2014,Sep,n,F
167,2014.09.02,2014,Provoked,usa,52,3' to 4' shark,02-Sep-2014,Sep,n,M
168,2014.08.31,2014,Unprovoked,usa,13,Spinner shark,31-Aug-2014,Aug,n,F
169,2014.08.08,2014,Unprovoked,usa,7," Bull shark, 5'",08-Aug-2014,Aug,n,M
170,2014.08.06,2014,Unprovoked,usa,10,4' tp 5' shark,06-Aug-2014,Aug,n,M
171,2014.08.01,2014,Unprovoked,south africa,20,White shark,01-Aug-2014,Aug,n,M
172,2014.07.16,2014,Unprovoked,usa,61,6' to 8' shark,16-Jul-2014,Jul,n,M
173,2014.07.14,2014,Unprovoked,usa,39,4' shark,14-Jul-2014,Jul,n,M
174,2014.07.13,2014,Invalid,bahamas,63,Shark involvement not confirmed,13-Jul-2014,Jul,,M
175,2014.07.03,2014,Unprovoked,usa,19,4' to 5' shark,3-Jul-2014,Jul,n,M
176,2014.06.09.b,2014,Unprovoked,usa,16," Sandbar shark, 3' to 4'",09-Jun-2014,Jun,n,M
177,2014.06.09.a,2014,Unprovoked,australia,39,"Bronze whaler shark, 1.5m",09-Jun-2014,Jun,n,M
178,2014.06.01.c,2014,Unprovoked,usa,22,Bull shark,01-Jun-2014,Jun,n,F
179,2014.05.14,2014,Unprovoked,australia,35," white shark, 15' ",14-May-2014,May,n,M
180,2014.05.06,2014,Unprovoked,usa,40,4' to 5' shark,06-May-2014,May,n,F
181,2014.05.01,2014,Unprovoked,usa,23,3' shark,01-May-2014,May,n,M
182,2014.04.03,2014,Unprovoked,australia,63,3 m to 4 m white shark,03-Apr-2014,Apr,y,F
183,2014.03.29,2014,Invalid,australia,38,Shark involvement prior to death not confirmed,29-Mar-2014,Mar,,M
184,2014.03.22.b,2014,Unprovoked,south africa,66,2 m shark,22-Mar-2014,Mar,y,M
185,2014.02.20,2014,Unprovoked,french polynesia,21,Blacktip reef shark ,20-Feb-2014,Feb,n,M
186,2014.02.07,2014,Unprovoked,new zealand,28,7-gill shark?,07-Feb-2014,Feb,n,M
187,2013.12.25,2013,Unprovoked,new caledonia,37,Reported to involve a bull shark,25-Dec-2013,Dec,n,M
188,2013.12.16,2013,Unprovoked,south africa,19,"White shark, 3m ",16-Dec-2013,Dec,n,M
189,2013.12.11,2013,Unprovoked,usa,29,"Tiger shark, 10' to 12'",11-Dec-2013,Dec,n,M
190,2013.12.10,2013,Unprovoked,usa,30,4' to 6' shark,10-Dec-2013,Dec,n,M
191,2013.12.05,2013,Unprovoked,australia,26," Wobbegong shark, 1.6 to 1.8m ",05-Dec-2013,Dec,n,M
192,2013.11.30,2013,Unprovoked,australia,19,"Tiger shark, 3m ",30-Nov-2013,Nov,y,M
193,2013.11.23.a,2013,Unprovoked,australia,35,Thought to involve a white shark,23-Nov-2013,Nov,y,M
194,2013.11.22,2013,Unprovoked,usa,25,"White shark, 10 '",22-Nov-2013,Nov,n,M
195,2013.10.31,2013,Unprovoked,usa,46,Tiger shark,31-Oct-2013,Oct,n,M
196,2013.10.28,2013,Unprovoked,australia,60,"Blacktip reef shark, 1m",28-Oct-2013,Oct,n,F
197,2013.10.26.b,2013,Unprovoked,reunion,24,Thought to involve a bull shark,26-Oct-2013,Oct,n,M
198,2013.10.24,2013,Unprovoked,australia,41,Wobbegong shark,24-Oct-2013,Oct,n,M
199,2013.10.23,2013,Unprovoked,usa,45,"Whitetip reef shark, 4' to 6'",23-Oct-2013,Oct,n,M
200,2013.10.20,2013,Unprovoked,usa,25,Tiger shark,20-Oct-2013,Oct,n,M
201,2013.10.19,2013,Unprovoked,usa,6,Nurse shark?,19-Oct-2013,Oct,n,M
202,2013.10.11,2013,Unprovoked,south africa,74,White shark,11-Oct-2013,Oct,y,M
203,2013.10.08,2013,Unprovoked,australia,55,White shark,08-Oct-2013,Oct,n,M
204,2013.10.05,2013,Unprovoked,usa,45,"White shark, 8' to 10'",06-Oct-2013,Oct,n,M
205,2013.09.14,2013,Unprovoked,usa,21,Bull shark, 14-Sep-2013,Sep,n,M
206,2013.09.12,2013,Unprovoked,usa,13,3' shark, 12-Sep-2013,Sep,n,F
207,2013.09.07.b,2013,Provoked,usa,43,3' shark, 07-Sep-2013,Sep,n,M
208,2013.09.07.a,2013,Unprovoked,usa,25,3' shark, 07-Sep-2013,Sep,n,M
209,2013.09.01.a,2013,Unprovoked,usa,9,4' shark, 01-Sep-2013,Sep,n,M
210,2013.08.14,2013,Unprovoked,usa,20,Tiger shark?, 14-Aug-2013,Aug,y,F
211,2013.08.11,2013,Unprovoked,usa,10,"Bull shark, 8'",11-Aug-2013,Aug,n,M
212,2013.08.05,2013,Unprovoked,usa,17,"Bull shark, 6' to 8'", 05-Aug-2013,Aug,n,M
213,2013.07.29.c,2013,Unprovoked,bahamas,40,6' shark,28-Jul-2013,Jul,n,M
214,2013.07.29.a,2013,Unprovoked,usa,18,"Tiger shark, 8' to 10' ",  29-Jul-2013,Jul,n,M
215,2013.07.28.b,2013,Unprovoked,bahamas,64,Nurse shark,28-Jul-2013,Jul,n,M
216,2013.06.25.a,2013,Unprovoked,usa,14,4' to 5' shark,25-Jun-2013,Jun,n,M
217,2013.06.18,2013,Unprovoked,usa,28,"Tiger shark, 14'",18-Jun-2013,Jun,n,M
218,2013.06.14.R,2013,Unprovoked,usa,10,4' to 5' shark,Reported 14-Jun-2013,ReportedJun,n,F
219,2013.05.14,2013,Unprovoked,ecuador,29,Galapagos shark,14-May-2014,May,n,M
220,2013.05.08.a,2013,Unprovoked,reunion,36,Bull shark,08-May-2013,May,y,M
221,2013.05.04.a,2013,Unprovoked,usa,16,a small shark,04-May-2013,May,n,M
222,2013.04.24,2013,Unprovoked,mexico,34,Tiger shark,24-Apr-2013,Apr,n,F
223,2013.04.21,2013,Unprovoked,australia,51,"Grey nurse shark, 3m",21-Apr-2013,Apr,n,M
224,2013.04.17,2013,Unprovoked,usa,9,3' shark,17-Apr-2013,Apr,n,M
225,2013.04.13.b,2013,Unprovoked,usa,21,Bull shark,13-Apr-2013,Apr,n,M
226,2013.04.10,2013,Unprovoked,french polynesia,53,Possibly a blacktip reef shark,10-Apr-2013,Apr,n,M
227,2013.04.02.a,2013,Unprovoked,usa,58,4' shark,02-Apr-2013,Apr,n,M
228,2013.03.16.b,2013,Provoked,south africa,30,"Raggedtooth shark, 1.5 m",16-Mar-2013,Mar,n,M
229,2013.03.12,2013,Unprovoked,jamaica,68,"Tiger shark, 4.8 m",12-Mar-2013,Mar,y,M
230,2013.03.10.b,2013,Unprovoked,australia,28,"Bronze whaler shark, 2.5m",10-Mar-2013,Mar,n,M
231,2013.02.27,2013,Unprovoked,new zealand,46,"White shark, 4m",27-Feb-2013,Feb,y,M
232,2013.02.10,2013,Unprovoked,usa,16,"Blacktip shark, 4' to 5'",10-Feb-2013,Feb,n,M
233,2013.02.09,2013,Unprovoked,french polynesia,48,Lemon shark,09-Feb-2013,Feb,n,M
234,2013.01.16,2013,Unprovoked,usa,43,"Tiger shark, 15'",16-Jan-2013,Jan,n,M
235,2012.12.30,2012,Unprovoked,australia,23,2.5 m shark,30-Dec-2012,Dec,n,M
236,2012.12.28,2012,Unprovoked,australia,29,"Bull shark, 2m ",28-Dec-2012,Dec,n,M
237,2012.12.19,2012,Unprovoked,australia,32,"Tiger shark, 6'",19-Dec-2012,Dec,n,M
238,2012.12.05,2012,Unprovoked,usa,60,10' shark,05-Dec-2012,Dec,n,M
239,2012.12.02,2012,Unprovoked,australia,31,Sandtiger shark,02-Dec-2012,Dec,n,M
240,2012.11.30,2012,Unprovoked,usa,61,"Tiger shark, 10'",30-Nov-2012,Nov,n,M
241,2012.11.22,2012,Unprovoked,mexico,32,2.5 m shark,22-Nov-2012,Nov,y,M
242,2012.11.19,2012,Unprovoked,usa,14,2' to 3' shark,19-Nov-2012,Nov,n,M
243,2012.11.04.b,2012,Unprovoked,usa,30,"Tiger shark, 15'",04-Nov-2012,Nov,n,M
244,2012.11.04.a,2012,Unprovoked,usa,43,"Tiger shark, 8'",04-Nov-2012,Nov,n,M
245,2012.10.30,2012,Unprovoked,usa,25,White shark,30-Oct-2012,Oct,n,M
246,2012.10.27,2012,Unprovoked,usa,51,"Tiger shark, 10' to 12' ",27-Oct-2012,Oct,n,F
247,2012.10.23,2012,Unprovoked,usa,39,"White shark, 15' to 16' ",23-Oct-2012,Oct,y,M
248,2012.10.18.a,2012,Unprovoked,usa,55,6' to 8' shark,18-Oct-2012,Oct,n,M
249,2012.10.02,2012,Unprovoked,australia,11,2m shark,02-Oct-2012,Oct,n,M
250,2012.09.25,2012,Unprovoked,usa,21,5' shark,25-Sep-2012,Sep,n,M
251,2012.09.24,2012,Unprovoked,usa,22,4' shark,24-Sep-2012,Sep,n,M
252,2012.09.02.b,2012,Unprovoked,usa,8,3.5' to 4' shark,02-Sep-2012,Sep,n,F
253,2012.09.02.a,2012,Unprovoked,usa,56,3.5' to 4' shark,02-Sep-2012,Sep,n,F
254,2012.08.09,2012,Unprovoked,usa,56,"Lemon shark, 4' to 5' ",08-Aug-2012,Aug,n,M
255,2012.07.31.a,2012,Unprovoked,australia,48,White shark or bronze whaler,31-Jul-2012,Jul,n,M
256,2012.07.30.a,2012,Unprovoked,usa,50,Thought to involve a white shark,30-Jul-2012,Jul,n,M
257,2012.07.14,2012,Unprovoked,australia,24,"White shark, 5m",14-Jul-2012,Jul,y,M
258,2012.07.07.a,2012,Boating,usa,52,14' to 18'shark,07-Jul-2012,Jul,n,M
259,2012.07.06,2012,Unprovoked,south africa,29,15' shark,06-Jul-2012,Jul,n,M
260,2012.06.26.c,2012,Unprovoked,usa,6,possibly a bull shark,26-Jun-2012,Jun,n,M
261,2012.06.26.a,2012,Unprovoked,usa,16,a small reef shark,26-Jun-2012,Jun,n,F
262,2012.06.20,2012,Unprovoked,australia,62,3 m shark,20-Jun-2012,Jun,n,M
263,2012.06.15,2012,Provoked,usa,23,Nurse shark,15-Jun-2012,Jun,n,M
264,2012.06.14.d,2012,Unprovoked,usa,18,small blacktip shark?,14-Jun-2012,Jun,n,F
265,2012.06.14.a,2012,Unprovoked,usa,16,Blacktip shark ,14-Jun-2012,Jun,n,M
266,2012.06.12,2012,Unprovoked,australia,42,1.5 m shark,12-Jun-2012,Jun,n,M
267,2012.06.10,2012,Provoked,italy,57,"Blue shark, 2.5m",10-Jun-2012,Jun,,M
268,2012.06.03,2012,Unprovoked,australia,30,"White shark, 2 m",03-Jun-2012,Jun,n,M
269,2012.05.31,2012,Unprovoked,usa,33,"18"" to 24"" shark",31-May-2012,May,n,F
