,case_number,year,type,country,age,species_,date,mes,fatal,sexo
785,1999.12.06,1999,Invalid,brazil,39,Shark involvement not confirmed,06-Dec-1999,Dec,n,M
786,1999.11.23,1999,Unprovoked,usa,51,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",23-Nov-1999,Nov,n,F
787,1999.11.06,1999,Unprovoked,brazil,39,1.3 to 1.6 m shark,06-Nov-1999,Nov,n,M
788,1999.10.01,1999,Unprovoked,usa,16,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",01-Oct-1999,Oct,n,M
789,1999.09.18,1999,Unprovoked,usa,37,White shark,19-Sep-1999,Sep,n,M
790,1999.08.26,1999,Unprovoked,usa,28,"""a small shark""",26-Aug-1999,Aug,n,M
791,1999.08.23,1999,Unprovoked,marshall islands,23,7' shark,23-Aug-1999,Aug,n,M
792,1999.08.16,1999,Unprovoked,usa,10,1.8 m [6'] shark,16-Aug-1999,Aug,n,M
793,1999.08.05.a,1999,Unprovoked,usa,62,4' to 5' shark,05-Aug-1999,Aug,n,M
794,1999.08.05,1999,Unprovoked,bahamas,35,2.7 m [9']  bull shark or Caribbean reef shark,05-Aug-1999,Aug,n,M
795,1999.07.29,1999,Unprovoked,south africa,42,"White shark, 3 m to 5 m [10' to 16.5'] ",29-Jul-1999,Jul,n,M
796,1999.07.26,1999,Unprovoked,usa,43,"Bull shark, 2.1 m [7']",26-Jul-1999,Jul,n,M
797,1999.07.21,1999,Unprovoked,usa,43,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",21-Jul-1999,Jul,n,M
798,1999.07.15,1999,Unprovoked,south africa,14,White shark,15-Jul-1999,Jul,y,M
799,1999.07.04,1999,Unprovoked,usa,30,"Blacktip shark, 1.8 m [6'] ",04-Jul-1999,Jul,n,F
800,1999.07.03,1999,Unprovoked,south africa,29,"White shark, 4 m [13'] ",03-Jul-1999,Jul,n,M
801,1999.06.17,1999,Unprovoked,usa,21,3' to 4' shark,17-Jun-1999,Jun,n,M
802,1999.06.09,1999,Unprovoked,usa,5,Blacktip or spinner shark,09-Jun-1999,Jun,n,M
803,1999.05.29,1999,Unprovoked,australia,22,Thought to involve a white shark,29-May-1999,May,y,M
804,1999.05.01,1999,Unprovoked,brazil,21,"Tiger shark, 2.5 m [8.25']",01-May-1999,May,n,M
805,1999.04.22,1999,Unprovoked,mauritius,41,"Grey reef shark, 1.5 m ",22-Apr-1999,Apr,n,F
806,1999.04.11,1999,Unprovoked,reunion,52,3 bull sharks,11-Apr-1999,Apr,y,M
807,1999.03.05,1999,Unprovoked,usa,29,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity,05-Mar-1999,Mar,n,F
808,1999.02.23,1999,Unprovoked,australia,35,Bronze whaler or tiger shark,23-Feb-1999,Feb,n,M
809,1999.02.03,1999,Unprovoked,usa,25,Spinner shark,03-Feb-1999,Feb,n,M
810,1999.00.00.b,1999,Unprovoked,south africa,30,"White shark, 4.6 m [15'] ",1999,,n,M
811,1998.12.20.R,1998,Unprovoked,south africa,18,Possibly a white shark,Reported 20-Dec-1998,ReportedDec,n,M
812,1998.11.21,1998,Unprovoked,usa,9,Tiger shark,21-Nov-1998,Nov,y,M
813,1998.11.14,1998,Unprovoked,usa,14,1.2 m [4'] shark,14-Nov-1998,Nov,n,M
814,1998.11.11,1998,Unprovoked,usa,13,"A ""small shark""",11-Nov-1998,Nov,n,M
815,1998.11.02.a,1998,Unprovoked,brazil,22,Though to involve a white shark,02-Nov-1998,Nov,y,M
816,1998.08.30,1998,Unprovoked,usa,26,3' to 4' shark,30-Aug-1998,Aug,n,M
817,1998.08.26,1998,Unprovoked,usa,16,"White shark, 5 m to 6 m [16.5' to 20'] ",26-Aug-1998,Aug,n,M
818,1998.08.15,1998,Unprovoked,bahamas,28,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] ",15-Aug-1998,Aug,n,M
819,1998.08.01.a,1998,Unprovoked,south africa,24,"White shark, 4.9 m [16']",01-Aug-1998,Aug,n,M
820,1998.07.11,1998,Unprovoked,south africa,16,5' to 6' shark,11-Jul-1998,Jul,n,M
821,1998.06.28.a,1998,Unprovoked,australia,26,Thought to involve a 5.5 m white shark named Kong,28-Jun-1998,Jun,y,M
822,1998.06.22,1998,Unprovoked,south africa,20,White shark,22-Jun-1998,Jun,y,M
823,1998.05.29.b,1998,Unprovoked,south africa,15,3 m to 4 m [10' to 13'] white shark,29-May-1998,May,n,M
824,1998.05.29.a,1998,Unprovoked,south africa,16,Unidentified,29-May-1998,May,n,M
825,1998.05.25,1998,Unprovoked,usa,40,"Lemon shark, 1.5 m [5'], identified  by the surfer",25-May-1998,May,n,M
826,1998.05.16.c,1998,Unprovoked,usa,14,"1.8 m [6'] shark, possibly a blacktip",16-May-1998,May,n,F
827,1998.05.16.a,1998,Unprovoked,south africa,22,4 m [13'] white shark,16-May-1998,May,n,M
828,1998.04.26,1998,Unprovoked,mozambique,35,3 m [10'] shark,26-Apr-1998,Apr,y,F
829,1998.04.21,1998,Unprovoked,usa,50,5 m [16.5'] white shark,21-Apr-1998,Apr,n,M
830,1998.03.15,1998,Unprovoked,south africa,33,3 m [10'] white shark,15-Mar-1998,Mar,n,M
831,1998.03.08.a,1998,Unprovoked,usa,32,5' spinner shark,08-Mar-1998,Mar,n,M
832,1998.01.28.R ,1998,Invalid,australia,31,Shark involvement not confirmed,Reported 28-Jan-1998,ReportedJan,,M
833,1998.01.14,1998,Unprovoked,mozambique,23,Small dusky shark or blackfin shark,14-Jan-1998,Jan,n,M
834,1997.12.28.b,1997,Unprovoked,south africa,39,White shark,28-Dec-1997,Dec,y,M
835,1997.11.09,1997,Unprovoked,australia,42,White shark,09-Nov-1997,Nov,n,M
836,1997.10.28.a,1997,Unprovoked,usa,19,"Tiger shark, 4 m to 4.3 m [13' to 14'] ",28-Oct-1997,Oct,n,M
837,1997.10.24,1997,Unprovoked,usa,23,Possibly a blacktip shark,24-Oct-1997,Oct,n,M
838,1997.10.21,1997,Unprovoked,usa,12,1.2 m to 1.5 m [4' to 5'] shark,21-Oct-1997,Oct,n,M
839,1997.08.24,1997,Unprovoked,usa,29,5 m [16.5'] white shark,24-Aug-1997,Aug,n,M
840,1997.08.02.b,1997,Unprovoked,usa,17,juvenile shark,02-Aug-1997,Aug,n,M
841,1997.08.02.a,1997,Unprovoked,usa,19,"""juvenile shark""",02-Aug-1997,Aug,n,M
842,1997.07.21,1997,Unprovoked,south africa,25,4.5 m white shark,21-Jul-1997,Jul,y,M
843,1997.07.14,1997,Unprovoked,usa,50,Blacktip shark,14-Jul-1997,Jul,n,M
844,1997.06.15,1997,Unprovoked,fiji,47,"Tiger shark, 2.7m  [9']",15-Jun-1997,Jun,n,F
845,1997.06.09,1997,Unprovoked,usa,18,Possibly a spinner shark,09-Jun-1997,Jun,n,M
846,1997.06.02,1997,Unprovoked,usa,33,1.2 m [4'] shark (spinner shark?),02-Jun-1997,Jun,n,M
847,1997.05.31.c,1997,Unprovoked,usa,35,4' shark,31-May-1997,May,n,M
848,1997.05.31.b,1997,Unprovoked,usa,34,Possibly a sand shark,31-May-1997,May,n,M
849,1997.05.31.a,1997,Unprovoked,usa,12,Possibly a sand shark,31-May-1997,May,n,M
850,1997.02.28.a,1997,Unprovoked,australia, 30,"Tiger shark, 2m to 3m ",28-Feb-1997,Feb,n,M
851,1997.01.25,1997,Unprovoked,australia,27,1.8 m to 2.1 m [6' to 7'] shark,25-Jan-1997,Jan,n,M
852,1997.01.20,1997,Unprovoked,australia,41,"Tiger shark, 4.5 m [14'9""]",20-Jan-1997,Jan,y,M
853,1996.11.29.a,1996,Unprovoked,usa,45,3 m to 5 m [10' to 16.5'] white shark,29-Nov-1996,Nov,n,M
854,1996.10.05.,1996,Unprovoked,usa,22,5.5 m to 6 m [18' to 20'] white shark,05-Oct-1996,Oct,n,M
855,1996.10.03.b,1996,Unprovoked,usa,21,1.2 m [4'] shark,03-Oct-1996,Oct,n,M
856,1996.10.03.a,1996,Unprovoked,usa,31,5 m [16.5'] white shark,03-Oct-1996,Oct,n,M
857,1996.09.06.b,1996,Unprovoked,new zealand,23,White shark,06-Sep-1996,Sep,n,M
858,1996.09.06.a,1996,Unprovoked,usa,19,"""a young shark""",06-Sep-1996,Sep,n,M
859,1996.09.01.b,1996,Invalid,usa,28,Shark involvement not confirmed,01-Sep-1996,Sep,,F
860,1996.09.01.a,1996,Provoked,south africa,29,White shark,01-Sep-1996,Sep,n,M
861,1996.08.29,1996,Unprovoked,usa,19,"Tiger shark, 2.4 m [8'] ",29-Aug-1996,Aug,n,M
862,1996.08.13,1996,Unprovoked,usa,36,6 m [20'] white shark,13-Aug-1996,Aug,n,M
863,1996.08.11,1996,Unprovoked,usa,21,1.8 m to 2.1 m [6' to 7'] hammerhead shark,11-Aug-1996,Aug,n,M
864,1996.07.04.b,1996,Unprovoked,usa,63,5' to 6' shark,04-Jul-1996,Jul,n,F
865,1996.05.28,1996,Unprovoked,south africa,17,2.5 m [8.25'] white shark ,28-May-1996,May,n,M
866,1996.05.18,1996,Unprovoked,usa,22,1.2 m [4'] shark,18-May-1996,May,n,M
867,1996.05.07,1996,Unprovoked,usa,27,60 cm to 90 cm [2' to 3'] blacktip or spinner shark,07-May-1996,May,n,M
868,1996.03.05,1996,Unprovoked,australia,47,Tiger shark,05-Mar-1996,Mar,n,F
869,1996.02.26,1996,Unprovoked,australia,24,Bronze whaler shark,26-Feb-1996,Feb,n,M
870,1996.02.04,1996,Unprovoked,australia,7,"""reef shark""",04-Feb-1996,Feb,n,M
871,1996.01.16,1996,Unprovoked,usa,53,Possibly a tiger shark,16-Jan-1996,Jan,n,M
872,1996.01.10,1996,Unprovoked,reunion,25,"Tiger shark, 300-kg [662-lb] ",10-Jan-1996,Jan,y,M
873,1995.10.11,1995,Unprovoked,australia,15,4 m shark,11-Oct-1995,Oct,n,F
874,1995.10.01,1995,Unprovoked,usa,39,1.2 m to 1.5 m [4' to 5']   shark,01-Oct-1995,Oct,n,M
875,1995.09.30.b,1995,Unprovoked,usa,14,1.5 to 1.8 m [5' to 6'] shark,30-Sep-1995,Sep,n,M
876,1995.09.28,1995,Unprovoked,usa,25,4 m [13'] white shark,28-Sep-1995,Sep,n,M
877,1995.09.11,1995,Unprovoked,australia,29,White shark,11-Sep-1995,Sep,y,M
878,1995.09.03.b,1995,Unprovoked,usa,32,3 m to 4 m [10' to 13'] white shark,03-Sep-1995,Sep,n,M
879,1995.08.26/b,1995,Unprovoked,usa,16,5' shark,26-Aug-1995,Aug,n,M
880,1995.08.26.a,1995,Unprovoked,usa,18,"""a small shark""",26-Aug-1995,Aug,n,M
881,1995.08.25,1995,Unprovoked,usa,16,1.2 m to 1.5 m [4' to 5'] shark,25-Aug-1995,Aug,n,M
882,1995.08.22.c,1995,Unprovoked,usa,23,"""sand"" shark",22-Aug-1995,Aug,n,M
883,1995.08.22.a,1995,Unprovoked,usa,19,"""small shark""",22-Aug-1995,Aug,n,M
884,1995.08.19,1995,Unprovoked,tonga,18,"""small shark""",19-Aug-1995,Aug,n,M
885,1995.08.15,1995,Unprovoked,usa,20,1.8 m [6'] shark,15-Aug-1995,Aug,n,M
886,1995.08.07,1995,Unprovoked,usa,12,1.2 m to 1.5 m [4' to 5'] shark,07-Aug-1995,Aug,n,M
887,1995.06.30,1995,Unprovoked,usa,31,6 m [20'] white shark,30-Jun-1995,Jun,n,M
888,1995.06.17.a,1995,Unprovoked,usa,45,1.8 m [6'] shark,17-Jun-1995,Jun,n,M
889,1995.06.16,1995,Unprovoked,usa,10,6' shark,16-Jun-1995,Jun,n,F
890,1995.06.14,1995,Unprovoked,usa,38,"Tiger shark, 3.7 m [12'] ",14-Jun-1995,Jun,n,M
891,1995.06.02,1995,Unprovoked,hong kong,29,1.8 m to 2.1 m [6' to 7'] shark,02-Jun-1995,Jun,y,M
892,1995.04.09.a,1995,Unprovoked,japan,47,6 m [20'] white shark,09-Apr-1995,Apr,y,M
893,1995.03.11,1995,Unprovoked,australia,35,"Bronze whaler shark, 2 m ",11-Mar-1995,Mar,n,M
894,1995.02.19,1995,Unprovoked,south africa,22,Raggedtooth shark,19-Feb-1995,Feb,n,M
895,1995.01.24,1995,Unprovoked,south africa,14,"Tiger shark, 1.8 m [6'] ",24-Jan-1995,Jan,y,M
896,1994.12.30,1994,Unprovoked,south africa,26,5.5 m [18'] white shark,30-Dec-1994,Dec,n,M
897,1994.12.09.a,1994,Unprovoked,usa,42,5 m to 5.5 m [16.5' to 18'] white shark,09-Dec-1994,Dec,y,M
898,1994.11.13,1994,Unprovoked,usa,34,2.7 m [9'] shark,13-Nov-1994,Nov,n,F
899,1994.10.08,1994,Provoked,usa,9,Thought to involve a small sand shark,09-Oct-1994,Oct,n,F
900,1994.09.21,1994,Unprovoked,usa,43,5 m [16.5'] white shark,21-Sep-1994,Sep,n,M
901,1994.09.05,1994,Unprovoked,usa,12,Small shark,05-Sep-1994,Sep,n,F
902,1994.07.09.c,1994,Unprovoked,reunion,24,3 to 3.5 m [10' to 11.5'] bull shark,09-Jul-1994,Jul,y,M
903,1994.07.09.b,1994,Unprovoked,south africa,22,4 m [13'] white shark,09-Jul-1994,Jul,y,M
904,1994.07.09.a,1994,Unprovoked,south africa,31,4 m [13'] white shark,09-Jul-1994,Jul,n,M
905,1994.07.08.a,1994,Unprovoked,usa,15,"""small shark""",08-Jul-1994,Jul,n,M
906,1994.06.24,1994,Unprovoked,bahamas,30,1.8 m [6'] shark,24-Jun-1994,Jun,n,M
907,1994.05.31.a,1994,Unprovoked,usa, 28,1.2 m [4'] spinner shark,31-May-1994,May,n,M
908,1994.05.15,1994,Unprovoked,usa,22,>1.8 m [6'] shark,15-May-1994,May,n,M
909,1994.02.19,1994,Unprovoked,usa,23,1.2 m [4'] shark,19-Feb-1994,Feb,n,M
910,1994.02.12,1994,Unprovoked,south africa,15,3 m [10'] white shark,12-Feb-1994,Feb,n,M
911,1994.01.03,1994,Unprovoked,south africa,33,"1.3 m [4'3""] shark",03-Jan-1994,Jan,n,M
912,1993.11.21,1993,Unprovoked,australia,27,Tiger shark caught 6 days later with divers remains in its gut,21-Nov-1993,Nov,y,M
913,1993.10.30,1993,Unprovoked,usa,26,4 m to 5 m [13' to 16.5'] white shark,30-Oct-1993,Oct,n,M
914,1993.10.26,1993,Unprovoked,usa,26,3 m [10'] bull shark,26-Oct-1993,Oct,n,F
915,1993.10.10,1993,Boating,usa,34,>6 m [20'] white shark,10-Oct-1993,Oct,n,F
916,1993.09.26,1993,Unprovoked,south africa,36,3 m [10'] white shark,26-Sep-1993,Sep,n,M
917,1993.09.03,1993,Unprovoked,spain,69,1.2 m [4'] shark,03-Sep-1993,Sep,n,M
918,1993.08.21,1993,Unprovoked,bahamas,51,1.8 m [6'] blacktip shark or Caribbean reef shark,21-Aug-1993,Aug,n,M
919,1993.08.15.a,1993,Unprovoked,usa,19,Bull shark,15-Aug-1993,Aug,n,F
920,1993.08.12,1993,Unprovoked,usa,39,5.5 m to 6 m [18' to 20']  white shark,12-Aug-1993,Aug,n,M
921,1993.07.30,1993,Unprovoked,south africa,28,4 m [13'] white shark,30-Jul-1993,Jul,n,M
922,1993.07.07,1993,Unprovoked,usa,12,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",07-Jul-1993,Jul,n,F
923,1993.06.10,1993,Unprovoked,usa,22,Thought to involve a tiger shark,10-Jun-1993,Jun,n,M
924,1993.06.09,1993,Unprovoked,australia,31,Remains recovered from 5.5 m [18'] white shark,09-Jun-1993,Jun,y,M
925,1993.06.05,1993,Unprovoked,australia,34,5 m [16.5'] white shark,05-Jun-1993,Jun,y,F
926,1993.06.00,1993,Unprovoked,usa,60's,6' shark,Jun-1993,Jun,n,F
927,1993.03.14,1993,Unprovoked,usa,35,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",14-Mar-1993,Mar,n,M
928,1993.03.12,1993,Unprovoked,usa,55,White shark,12-Mar-1993,Mar,n,M
929,1993.02.04,1993,Provoked,australia,69,"Bronze whaler shark, 1.5 m ",04-Feb 1993,Feb,n,M
930,1993.01.05,1993,Unprovoked,australia,21,1.5 m shark,05-Jan-1993,Jan,n,M
931,1993.01.02,1993,Unprovoked,usa,29,6 m [20'] white shark,02-Jan-1993,Jan,n,M
932,1992.12.28,1992,Unprovoked,usa,10,"Tiger shark, 2.4 m [8']",28-Dec-1992,Dec,n,M
933,1992.12.23,1992,Unprovoked,usa,30,"Tiger shark, 3 m to 4.9 m [10' to 16'] ",23-Dec-1992,Dec,n,M
934,1992.11.29,1992,Unprovoked,usa,31,"Mako shark, 1.8 m [6']  ",29-Nov-1992,Nov,n,M
935,1992.11.25.a,1992,Unprovoked,usa,19,6' to 7' blacktip shark,25-Nov-1992,Nov,n,M
936,1992.11.14,1992,Boating,usa,46,5 m to 6 m white shark,14-Nov-1992,Nov,n,M
937,1992.11.11,1992,Unprovoked,usa,40,Unidentified shark,11-Nov-1992,Nov,n,M
938,1992.11.05.a,1992,Unprovoked,usa,18,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",05-Nov-1992,Nov,y,M
939,1992.10.29,1992,Unprovoked,usa,40,2.5 m [8.25'] white shark,29-Oct-1992,Oct,n,M
940,1992.10.22,1992,Unprovoked,usa,28,"Tiger shark, 4.3 m [14'] ",22-Oct-1992,Oct,n,M
941,1992.10.01,1992,Unprovoked,australia,28,4.2 m white shark,01-Oct-1992,Oct,y,M
942,1992.09.13,1992,Unprovoked,usa,20,4 m to 5 m [13' to 16.5']  white shark ,13-Sep-1992,Sep,n,M
943,1992.08.25,1992,Unprovoked,australia,17,4 m white shark,25-Aug-1992,Aug,n,M
944,1992.08.18,1992,Unprovoked,usa,22,5.5 m to 6 m [18' to 20'] white shark,18-Aug-1992,Aug,n,M
945,1992.07.21,1992,Unprovoked,usa,42,"""a small shark""",21-Jul-1992,Jul,n,F
946,1992.06.28.a,1992,Unprovoked,reunion,16,Bull shark or lemon shark,28-Jun-1992,Jun,y,M
947,1992.04.09,1992,Unprovoked,south africa,35,>2 m shark,09-Apr-1992,Apr,n,M
948,1992.03.28,1992,Unprovoked,usa,36,Tiger shark,28-Mar-1992,Mar,n,F
949,1992.03.08.c,1992,Unprovoked,japan,41,"5 m [16.5'] white shark, identification by K. Nakaya",08-Mar-1992,Mar,y,M
950,1992.03.08.a,1992,Unprovoked,usa,21,Said to involve a 6 m to 7 m [20' to 23'] white shark,08-Mar-1992,Mar,n,M
951,1992.02.09,1992,Invalid,australia,19,Questionable incident,09-Feb-1992,Feb,,M
952,1992.01.29.a,1992,Unprovoked,australia,19,"Bronze whaler shark, 2.3 m [7.5'] ",29-Jan-1992,Jan,n,M
953,1992.01.23,1992,Unprovoked,south africa,19,"Zambesi shark, 1.7 m [5.5'] ",23-Jan-1992,Jan,n,M
954,1992.01.08,1992,Unprovoked,south africa,36,Possibly a 1.5 m [5'] blacktip shark,08-Jan-1992,Jan,n,M
955,1991.12.04,1991,Unprovoked,usa,25,6 m [20'] white shark,04-Dec-1991,Dec,n,M
956,1991.11.26.b,1991,Unprovoked,usa,41,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",26-Nov-1991,Nov,y,F
957,1991.10.12,1991,Unprovoked,usa,21,1.8 m [6'] shark,12-Oct-1991,Oct,n,M
958,1991.10.05,1991,Unprovoked,usa,32,5 m to 6 m [16.5' to 20'] white shark,05-Oct-1991,Oct,n,M
959,1991.09.08,1991,Unprovoked,australia,19,4 m [13'] white shark,08-Sep-1991,Sep,y,M
960,1991.08.30,1991,Provoked,australia,36,"3 m [10'], 270- kg [595-lb] shark",30-Aug-1991,Aug,n,M
961,1991.08.26,1991,Unprovoked,usa,23,sand shark,26-Aug-1991,Aug,n,M
962,1991.08.12,1991,Unprovoked,usa,10,3' shark,12-Aug-1991,Aug,n,F
963,1991.07.30,1991,Boating,italy,40,4 m [13'] white shark,30-Jul-1991,Jul,n,F
964,1991.07.01.b,1991,Unprovoked,reunion,30,"Tiger shark, 3 to 4 m [10' to 13'] ",01-Jul-1991,Jul,n,M
965,1991.07.01.a,1991,Unprovoked,usa,32,5 m [16.5'] white shark,01-Jul-1991,Jul,n,M
966,1991.06.07.b,1991,Unprovoked,usa,31,2.7 m [9'] bull or lemon shark,07-Jun-1991,Jun,n,M
967,1991.06.07.a,1991,Unprovoked,hong kong,65,"Tiger shark, >3 m [10']",07-Jun-1991,Jun,y,F
968,1991.05.26,1991,Unprovoked,usa,23,2.4 m [8'] shark,26-May-1991,May,n,M
969,1991.04.16.a,1991,Unprovoked,usa,22,1.2 m to 1.5 m [4' to 5'] shark,16-Apr-1991,Apr,n,M
970,1991.02.24,1991,Unprovoked,usa,38,5.5 m [18'] white shark,24-Feb-1991,Feb,n,M
971,1991.02.12,1991,Unprovoked,south africa,20,5.5 m [18'] white shark,12-Feb-1991,Feb,n,M
972,1990.11.01,1990,Unprovoked,usa,24,5' shark,01-Nov-1990,Nov,n,M
973,1990.10.30.b,1990,Unprovoked,usa,50,1.8 m [6'] shark ,30-Oct-1990,Oct,n,M
974,1990.10.20,1990,Unprovoked,usa,25,4' spinner shark,20-Oct-1990,Oct,n,M
975,1990.10.15,1990,Unprovoked,usa,43,"Tiger shark, 3.7 m [12'] ",15-Oct-1990,Oct,n,M
976,1990.10.12,1990,Unprovoked,usa,19,1.8 m to 2.4 m [6' to 8'] shark,12-Oct-1990,Oct,n,M
977,1990.09.15,1990,Unprovoked,south africa,26,5 m  [16.5'] white shark,15-Sep-1990,Sep,n,M
978,1990.09.08,1990,Unprovoked,usa,49,White shark,08-Sep-1990,Sep,n,M
979,1990.09.05,1990,Boating,usa,44,2.5 m to 3 m [8.25' to 10']  white shark,05-Sep-1990,Sep,n,M
980,1990.08.28,1990,Unprovoked,usa,22,5 m to 6 m [16.5' to 20'] white shark,28-Aug-1990,Aug,n,M
981,1990.06.24,1990,Unprovoked,south africa,21,"4.5 m [14'9""] white shark",24-Jun-1990,Jun,y,F
982,1990.05.06,1990,Unprovoked,south africa,22,"5.5 m [18'] white shark, identified by witnesses & tooth marks",06-May-1990,May,n,M
983,1990.04.14,1990,Unprovoked,south africa,23,"2.3 m [7.5'] white shark, identified by M. Smale",14-Apr-1990,Apr,n,M
984,1990.04.09,1990,Unprovoked,australia,31,"Tiger shark, 3 m ",09-Apr-1990,Apr,n,M
985,1989.11.18,1989,Unprovoked,south africa,29,White shark,18-Nov-1989,Nov,y,M
986,1989.10.22,1989,Unprovoked,australia,17,2.7 m [9'] white shark,22-Oct-1989,Oct,n,M
987,1989.10.11,1989,Unprovoked,usa,12,4' shark,11-Oct-1989,Oct,n,M
988,1989.10.08,1989,Invalid,usa,49,Shark involvement suspected but not confirmed,08-Oct-1989,Oct,,M
989,1989.09.17,1989,Unprovoked,south africa,29,"White shark, identified by tooth pattern",17-Sep-1989,Sep,n,M
990,1989.09.13,1989,Provoked,usa,51,150-lb shark,13-Sep-1989,Sep,n,M
991,1989.09.09.b,1989,Unprovoked,usa,38,4 m to 5 m [13' to 16.5']  white shark,09-Sep-1989,Sep,n,M
992,1989.08.29,1989,Provoked,australia,30,Grey nurse shark,29-Aug-1989,Aug,n,M
993,1989.08.22.a,1989,Unprovoked,south africa,21,>3.4 m [11'] white shark,22-Aug-1989,Aug,n,M
994,1989.08.13,1989,Unprovoked,australia,17,"Bronze whaler shark, 3 m [10'] ",13-Aug-1989,Aug,n,M
995,1989.07.20,1989,Unprovoked,south africa,34,2.5 m [8.25'] white shark,20-Jul-1989,Jul,n,M
996,1989.06.05,1989,Unprovoked,south africa,16,3 m [10'] white shark,05-Jun-1989,Jun,n,M
997,1989.06.03,1989,Unprovoked,south africa,28,2.5 m [8.25'] white shark,03-Jun-1989,Jun,n,M
998,1989.03.09,1989,Unprovoked,australia,27,2 m [6.75'] white shark,09-Mar-1989,Mar,y,M
999,1989.02.02,1989,Unprovoked,italy,47,6 m [20'] white shark,02-Feb-1989,Feb,y,M
1000,1989.01.26.b,1989,Invalid,usa,24,Invalid,26-Jan-1989,Jan,,M
1001,1989.01.26.a,1989,Unprovoked,usa,24,5 m [16.5'] white shark,26-Jan-1989,Jan,y,F
1002,1989.01.03,1989,Unprovoked,australia,17,"Tiger shark, 4 m [13'] ",03-Jan-1989,Jan,n,M
1003,1988.10.23,1988,Unprovoked,usa,21,5.5 m to 6 m [18' to 20']  white shark,23-Oct-1988,Oct,n,M
1004,1988.10.11,1988,Unprovoked,usa,30,1.2 m to 1.5 m [4' to 5'] shark,11-Oct-1988,Oct,n,M
1005,1988.10.10,1988,Unprovoked,usa,23,1.2 m to 1.5 m [4' to 5'] shark,10-Oct-1988,Oct,n,M
1006,1988.09.28,1988,Unprovoked,usa,21,5' shark,28-Sep-1988,Sep,n,M
1007,1988.09.13.a,1988,Unprovoked,usa,38,3 m [10'] bull shark,13-Sep-1988,Sep,y,M
1008,1988.08.11,1988,Unprovoked,usa,27,2.4 m to 3 m [8' to 10'] white shark,11-Aug-1988,Aug,n,M
1009,1988.06.19,1988,Unprovoked,south africa,36,White shark,16-Jun-1988,Jun,n,M
1010,1988.06.09,1988,Unprovoked,usa,37,Sand shark?,09-Jun-1988,Jun,n,M
1011,1988.06.01,1988,Unprovoked,usa,25,1.8 m to 2.4 m [6' to 8'] shark,01-Jun-1988,Jun,n,M
1012,1988.03.16,1988,Unprovoked,south africa,17,1.5 m to 2 m [5' to 6.75'] shark,16-Mar-1988,Mar,n,M
1013,1988.02.14,1988,Unprovoked,south africa,20,"1 m ""grey-colored"" shark",14-Feb-1988,Feb,n,M
1014,1988.02.13,1988,Unprovoked,south africa,15,Zambezi shark (tooth fragments recovered),13-Feb-1988,Feb,n,F
1015,1988.01.27,1988,Invalid,south africa,22,Shark involvement not confirmed,27-Jan-1988,Jan,,M
1016,1988.01.06,1988,Provoked,south africa,33,1.5 m copper shark,06-Jan-1988,Jan,n,M
1017,1987.12.17,1987,Unprovoked,usa,16,1.8 m [6'] blacktip shark,17-Dec-1987,Dec,n,M
1018,1987.10.26,1987,Unprovoked,usa,20,2 m [6.75'] shark,26-Oct-1987,Oct,n,M
1019,1987.10.25,1987,Invalid,south africa,14,Questionable incident,25-Oct-1987,Oct,,M
1020,1987.10.11,1987,Unprovoked,south africa,21,White shark,11-Oct-1987,Oct,n,M
1021,1987.09.13,1987,Unprovoked,south africa,24,3.5 m [11.5']  white shark,13-Sep-1987,Sep,n,M
1022,1987.08.20,1987,Unprovoked,usa,12,1.2 m to 1.5 m [4' to 5'] shark,20-Aug-1987,Aug,n,M
1023,1987.08.15,1987,Unprovoked,usa,40,5.7 m white shark,15-Aug-1987,Aug,n,M
1024,1987.07.21,1987,Unprovoked,usa,27,3' to 4' shark,21-Jul-1987,Jul,n,M
1025,1987.07.12.b,1987,Unprovoked,usa,32,4' shark,12-Jul-1987,Jul,n,F
1026,1987.07.12.a,1987,Unprovoked,usa,16,4' shark,12-Jul-1987,Jul,n,F
1027,1987.04.01,1987,Unprovoked,vanuatu,8,4.3 m shark,01-Apr-1987,Apr,y,M
1028,1987.01.28,1987,Unprovoked,south africa,30,>2.5 m [8.25'] white shark,28-Jan-1987,Jan,n,M
1029,1986.12.22,1986,Unprovoked,south africa,21,3 m [10'] white shark,22-Dec-1986,Dec,y,M
1030,1986.12.11,1986,Unprovoked,usa,40,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,11-Dec-1986,Dec,n,M
1031,1986.12.06.a,1986,Unprovoked,usa,27,5 m to 6 m [16.5' to 20'] white shark,06-Dec-1986,Dec,n,M
1032,1986.10.03,1986,Unprovoked,usa,6,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",03-Oct-1986,Oct,n,F
